iter	MultiClass
0	1.061184165
1	1.021546326
2	0.9868805401
3	0.9613830031
4	0.9311369274
5	0.9072883643
6	0.8894079329
7	0.8759896144
8	0.8579357038
9	0.8490734022
10	0.8398187032
11	0.8245036028
12	0.8142402759
13	0.8046481554
14	0.7967242696
15	0.784753232
16	0.7744544108
17	0.7700289827
18	0.7642679873
19	0.7594942834
20	0.7509854577
21	0.7440074365
22	0.7388672554
23	0.7353859653
24	0.7311694584
25	0.7213247886
26	0.7096891408
27	0.7046621834
28	0.6999521991
29	0.691255324
30	0.6879659563
31	0.6803078985
32	0.6763804692
33	0.6720799838
34	0.6679630985
35	0.6653687118
36	0.6582397376
37	0.6537068656
38	0.6515666512
39	0.6480187288
40	0.6426927551
41	0.6369698703
42	0.6332155997
43	0.6317046579
44	0.6297670279
45	0.6261810873
46	0.6220924015
47	0.6180788641
48	0.6136800894
49	0.6110246118
50	0.608604245
51	0.6063214935
52	0.6032508913
53	0.6007764959
54	0.5982412088
55	0.5953685559
56	0.5928608276
57	0.5909805565
58	0.5880388821
59	0.5861896903
60	0.5819347857
61	0.5808052511
62	0.5780318971
63	0.5740634054
64	0.570998537
65	0.5689445329
66	0.5665794179
67	0.5643497457
68	0.5618490292
69	0.5591862289
70	0.5555327245
71	0.5534689497
72	0.5516898271
73	0.5490110001
74	0.5467935646
75	0.5457604564
76	0.5435432869
77	0.5412349798
78	0.5395908657
79	0.537821968
80	0.5361981454
81	0.534658397
82	0.532662402
83	0.5295940604
84	0.528188679
85	0.5268039985
86	0.5255359078
87	0.5234924085
88	0.5224183348
89	0.5208400891
90	0.5173498019
91	0.5146369815
92	0.5142890927
93	0.5127225618
94	0.5106896863
95	0.5081256203
96	0.5054213957
97	0.5029398979
98	0.5014768645
99	0.4995677002
100	0.4976934509
101	0.496341047
102	0.4938127485
103	0.4928129478
104	0.4913760839
105	0.4900770368
106	0.4882219584
107	0.4863575235
108	0.4844169906
109	0.4832846868
110	0.481279895
111	0.4804170955
112	0.4789114747
113	0.4771871307
114	0.4747632446
115	0.4720620106
116	0.4712330887
117	0.4693794863
118	0.4676531185
119	0.4667553694
120	0.4653276918
121	0.4637205137
122	0.462940641
123	0.4619211139
124	0.4600774493
125	0.4578546038
126	0.4569284282
127	0.45516873
128	0.4542146284
129	0.453102597
130	0.4506553779
131	0.4502330297
132	0.4485940658
133	0.4479697509
134	0.4467186956
135	0.4453255505
136	0.4437460053
137	0.4420958216
138	0.4405402157
139	0.4392593456
140	0.4381580375
141	0.4357674366
142	0.4351430534
143	0.4331049465
144	0.4309341595
145	0.4294710065
146	0.4283934968
147	0.4270169415
148	0.4259352117
149	0.4248484426
150	0.4230783578
151	0.4215238524
152	0.4211238357
153	0.42024021
154	0.4188422014
155	0.4179597344
156	0.4164043542
157	0.4155235072
158	0.4148376694
159	0.413051288
160	0.4122111556
161	0.4105891393
162	0.410053388
163	0.4089534804
164	0.4077104689
165	0.4061987371
166	0.4053782944
167	0.4041607539
168	0.4035937177
169	0.4023875895
170	0.4009766357
171	0.3995606416
172	0.39793249
173	0.3968523999
174	0.395639306
175	0.3951124033
176	0.3929365706
177	0.3911172923
178	0.3904911076
179	0.3901511083
180	0.3893943005
181	0.3883302483
182	0.3875917242
183	0.3862678302
184	0.384480553
185	0.3837057085
186	0.3827762372
187	0.382263648
188	0.381203156
189	0.380338877
190	0.3794543731
191	0.378396092
192	0.3777548262
193	0.3769859827
194	0.3767343728
195	0.3758236462
196	0.3754183846
197	0.3751840217
198	0.3740807178
199	0.3733683052
200	0.372259681
201	0.3718400545
202	0.3711695499
203	0.3703829567
204	0.3691287162
