date,fundingRate
2019-11-27,0.0001
2019-11-28,2.636666666666666e-06
2019-11-29,-0.00017136333333333335
2019-11-30,2.058e-05
2019-12-01,0.0001
2019-12-02,0.0001
2019-12-03,0.0001
2019-12-04,0.0001
2019-12-05,7.206e-05
2019-12-06,9.355666666666666e-05
2019-12-07,0.0001
2019-12-08,7.778333333333333e-05
2019-12-09,0.0001
2019-12-10,0.0001
2019-12-11,0.0001
2019-12-12,0.0001
2019-12-13,0.0001
2019-12-14,6.717000000000001e-05
2019-12-15,0.0001
2019-12-16,8.816333333333335e-05
2019-12-17,7.677e-05
2019-12-18,8.302333333333333e-05
2019-12-19,0.0001
2019-12-20,0.0001
2019-12-21,0.0001
2019-12-22,0.0001
2019-12-23,0.0001
2019-12-24,0.0001
2019-12-25,0.0001
2019-12-26,9.899333333333334e-05
2019-12-27,0.0001
2019-12-28,0.0001
2019-12-29,6.82e-05
2019-12-30,7.902333333333334e-05
2019-12-31,9.886666666666667e-05
2020-01-01,4.096666666666678e-06
2020-01-02,8.349000000000002e-05
2020-01-03,0.0001
2020-01-04,0.0001
2020-01-05,0.0001
2020-01-06,0.0001
2020-01-07,0.0001
2020-01-08,0.0001
2020-01-09,0.0001
2020-01-10,0.0001
2020-01-11,0.0001
2020-01-12,0.0001
2020-01-13,0.0001
2020-01-14,0.0001
2020-01-15,0.00021210333333333332
2020-01-16,0.0003260366666666666
2020-01-17,0.00016366333333333333
2020-01-18,0.00010337999999999999
2020-01-19,0.00029455000000000003
2020-01-20,0.0004671533333333333
2020-01-21,0.00019029
2020-01-22,0.00011783333333333333
2020-01-23,0.00013998000000000003
2020-01-24,0.00020261666666666664
2020-01-25,0.00015931
2020-01-26,0.00022782
2020-01-27,0.0001
2020-01-28,0.00050389
2020-01-29,0.0009465233333333334
2020-01-30,0.0005296366666666666
2020-01-31,0.0010278233333333333
2020-02-01,0.0006521533333333334
2020-02-02,0.00020442666666666668
2020-02-03,0.0001
2020-02-04,0.00030226
2020-02-05,0.00038505
2020-02-06,0.0008107233333333333
2020-02-07,0.0003113533333333333
2020-02-08,0.00027927333333333334
2020-02-09,0.0009883799999999999
2020-02-10,0.0020660766666666668
2020-02-11,0.0012551133333333333
2020-02-12,0.0026688133333333335
2020-02-13,0.00146644
2020-02-14,0.0010441766666666665
2020-02-15,0.0010010366666666666
2020-02-16,0.0009888766666666666
2020-02-17,0.0006864466666666666
2020-02-18,0.00020082
2020-02-19,0.00078567
2020-02-20,0.0002778033333333333
2020-02-21,0.0006028299999999999
2020-02-22,0.0005130400000000001
2020-02-23,0.0005626166666666667
2020-02-24,0.00037408
2020-02-25,0.00041350333333333334
2020-02-26,0.0006614266666666668
2020-02-27,0.00015389333333333332
2020-02-28,0.00022758666666666667
2020-02-29,0.00048073333333333333
2020-03-01,0.00022276666666666664
2020-03-02,0.00013461666666666667
2020-03-03,0.0001713433333333333
2020-03-04,0.00031328
2020-03-05,0.0003497766666666667
2020-03-06,0.00019126666666666666
2020-03-07,0.00011246333333333334
2020-03-08,0.00038700000000000003
2020-03-09,0.00012539999999999999
2020-03-10,0.00020142333333333335
2020-03-11,0.00021183666666666664
2020-03-12,0.00033639
2020-03-13,-0.00099923
2020-03-14,0.0001
2020-03-15,0.0001
2020-03-16,-9.773333333333332e-06
2020-03-17,0.0001
2020-03-18,0.0001
2020-03-19,0.0001
2020-03-20,0.0001
2020-03-21,0.0001
2020-03-22,0.0001
2020-03-23,0.0001
2020-03-24,0.0001
2020-03-25,0.0001
2020-03-26,0.0001
2020-03-27,0.0001
2020-03-28,5.761666666666667e-05
2020-03-29,0.0001
2020-03-30,3.3633333333333335e-05
2020-03-31,0.0001
2020-04-01,4.2106666666666675e-05
2020-04-02,4.943333333333333e-05
2020-04-03,0.0001
2020-04-04,8.293666666666668e-05
2020-04-05,7.851333333333333e-05
2020-04-06,7.522333333333333e-05
2020-04-07,-4.725e-05
2020-04-08,0.0001
2020-04-09,0.0001
2020-04-10,0.0001
2020-04-11,6.192333333333333e-05
2020-04-12,7.328333333333333e-05
2020-04-13,0.0001
2020-04-14,0.0001
2020-04-15,0.0001
2020-04-16,5.8246666666666666e-05
2020-04-17,0.0001
2020-04-18,9.818000000000001e-05
2020-04-19,0.0001
2020-04-20,0.0001
2020-04-21,0.0001
2020-04-22,0.0001
2020-04-23,0.0001
2020-04-24,0.0001
2020-04-25,0.0001
2020-04-26,0.0001
2020-04-27,0.0001
2020-04-28,0.0001
2020-04-29,0.0001
2020-04-30,0.00020181
2020-05-01,0.00021056999999999998
2020-05-02,0.00038192666666666663
2020-05-03,0.00028175666666666667
2020-05-04,0.00016204
2020-05-05,0.00021582333333333334
2020-05-06,0.00030432333333333333
2020-05-07,0.00010037
