date,tx_count,active_addresses,new_addresses,large_eth_transfers,token_transfers,contract_events,avg_gas_price,total_gas_used,avg_block_size,avg_block_difficulty
2015-08-07,2050,784,784,283,0,0,604684154870.46,49353826,632.63,1470838650662.28
2015-08-08,2881,605,430,186,0,6,322713574988.92,376006093,667.59,1586123528941.25
2015-08-09,1329,462,252,124,0,11,475467129047.56,38863003,618.3,1709479787484.64
2015-08-10,2037,821,632,115,0,22,421654904253.76,74070061,631.19,1837695763267.62
2015-08-11,4963,2132,1881,150,0,42,77838819161.93,163481740,692.01,2036390797503.47
2015-08-12,2036,581,259,118,0,111,444902379011.1,70102332,653.43,2207079742289.72
2015-08-13,2842,872,452,176,0,136,268683475202.32,88234087,665.72,2336979708057.89
2015-08-14,3174,1115,562,265,0,81,193455494453.19,78746522,659.75,2671253150471.51
2015-08-15,2284,857,294,179,0,61,144368937208.08,59565914,638.34,3378028425874.27
2015-08-16,2440,765,202,165,0,59,120940093311.22,58241191,640.65,3631632144442.78
2015-08-17,2512,816,253,145,0,32,132149993345.25,60515132,634.71,3908024035252.57
2015-08-18,2494,834,228,140,0,50,146513014268.09,66816413,648.49,4377694725368.52
2015-08-19,3246,823,199,98,0,5,194583349947.9,91746712,653.32,4419573021824.61
2015-08-20,2303,658,125,64,0,37,99011782800.57,63112713,650.09,4469109431846.1
2015-08-21,3919,913,238,87,0,4,79543407700.6,106379973,667.59,4415252643654.77
2015-08-22,3579,840,192,73,0,14,552841333007.35,90744195,648.04,4828340997895.13
2015-08-23,4190,885,182,55,0,218,73439482806.38,117802449,680.59,5138351075672.97
2015-08-24,4432,873,124,78,0,3,92409814704.76,97648912,672.55,5179118882691.48
2015-08-25,4487,951,152,49,0,103,76432335617.05,114480057,679.73,5173287673222.9
2015-08-26,4156,883,108,46,0,17,60481160548.98,99511209,668.65,5587304091731.82
2015-08-27,5590,929,133,46,0,12,59307091957.52,147888097,707.93,5925309861485.97
2015-08-28,4758,919,120,57,0,6,92879907334.8,111903559,690.88,6250868351996
2015-08-29,4139,839,84,33,0,13,56211090684.31,99107570,682.04,6657649139909.96
2015-08-30,4572,931,141,81,0,12,55155494457.4,102643603,688.94,6780904668947.91
2015-08-31,5196,947,94,91,0,2,58423521568.64,129040364,730.65,7213764433229.35
2015-09-01,5153,916,112,85,0,33,56671549652.13,140186844,741.28,7641499013978.47
2015-09-02,5195,875,90,42,0,7,59243651401.33,139367393,766.28,8283953338039.26
2015-09-03,4777,778,96,38,0,24,55051483460.69,126323875,755.39,8354596884230.86
2015-09-04,5642,761,66,22,0,45,58779015464.06,167169621,762.36,6469670080246.44
2015-09-05,5519,830,106,37,0,2,54768144366.02,159443421,752.89,6235386210268.61
2015-09-06,5521,965,83,47,0,12,55089818551.8,142769611,733.46,6305025872317.3
2015-09-07,5702,969,119,36,0,64,53594260637.11,170954165,752.6,6339141092888.28
2015-09-08,5622,1003,103,41,0,27,64932639811.48,159613715,759.39,6077004932538.93
2015-09-09,5604,980,102,32,0,13,53779997783.54,173606036,764.62,6202066849531.53
2015-09-10,5341,989,76,41,0,38,54630657670.01,141533806,729.94,6289587949042.92
2015-09-11,6460,1088,116,91,0,10,55713802957.59,160019709,735.91,6561787910853.36
2015-09-12,5596,942,75,29,0,15,61830202468.13,186314190,761.42,6832639915711.83
2015-09-13,6057,954,87,35,0,12,52313524792.06,177583552,763.56,7022050607216.24
2015-09-14,5572,1013,86,51,0,74,53772389657.34,171636301,771.17,6626273317244.02
2015-09-15,5409,906,66,63,0,28,53191101493.8,148568242,755.32,6418523305692.02
