date,ethereum
2020-01-01,77
2020-01-02,92
2020-01-03,91
2020-01-04,74
2020-01-05,86
2020-01-06,91
2020-01-07,100
2020-01-08,99
2020-01-09,69
2020-01-10,64
2020-01-11,64
2020-01-12,63
2020-01-13,68
2020-01-14,100
2020-01-15,99
2020-01-16,74
2020-01-17,100
2020-01-18,91
2020-01-19,81
2020-01-20,71
2020-01-21,69
2020-01-22,69
2020-01-23,77
2020-01-24,72
2020-01-25,62
2020-01-26,70
2020-01-27,84
2020-01-28,85
2020-01-29,100
2020-01-30,88
2020-01-31,80
2020-02-01,69
2020-02-02,83
2020-02-03,83
2020-02-04,80
2020-02-05,100
2020-02-06,61
2020-02-07,66
2020-02-08,61
2020-02-09,59
2020-02-10,57
2020-02-11,62
2020-02-12,100
2020-02-13,88
2020-02-14,77
2020-02-15,79
2020-02-16,67
2020-02-17,67
2020-02-18,65
2020-02-19,66
2020-02-20,88
2020-02-21,77
2020-02-22,69
2020-02-23,75
2020-02-24,80
2020-02-25,74
2020-02-26,82
2020-02-27,94
2020-02-28,85
2020-02-29,69
2020-03-01,70
2020-03-02,80
2020-03-03,77
2020-03-04,73
2020-03-05,75
2020-03-06,79
2020-03-07,75
2020-03-08,77
2020-03-09,100
2020-03-10,83
2020-03-11,75
2020-03-12,87
2020-03-13,100
2020-03-14,71
2020-03-15,64
2020-03-16,75
2020-03-17,64
2020-03-18,61
2020-03-19,95
2020-03-20,100
2020-03-21,82
2020-03-22,76
2020-03-23,76
2020-03-24,79
2020-03-25,73
2020-03-26,95
2020-03-27,89
2020-03-28,91
2020-03-29,86
2020-03-30,95
2020-03-31,85
2020-04-01,89
2020-04-02,71
2020-04-03,72
2020-04-04,64
2020-04-05,60
2020-04-06,93
2020-04-07,100
2020-04-08,84
2020-04-09,89
2020-04-10,92
2020-04-11,82
2020-04-12,89
2020-04-13,89
2020-04-14,84
2020-04-15,79
2020-04-16,78
2020-04-17,73
2020-04-18,94
2020-04-19,100
2020-04-20,83
2020-04-21,78
2020-04-22,77
2020-04-23,70
2020-04-24,65
2020-04-25,81
2020-04-26,86
2020-04-27,79
2020-04-28,71
2020-04-29,100
2020-04-30,100
2020-05-01,78
2020-05-02,80
2020-05-03,79
2020-05-04,76
2020-05-05,72
2020-05-06,73
2020-05-07,86
2020-05-08,87
2020-05-09,85
2020-05-10,100
2020-05-11,81
2020-05-12,83
2020-05-13,79
2020-05-14,97
2020-05-15,87
2020-05-16,82
2020-05-17,100
2020-05-18,97
2020-05-19,89
2020-05-20,86
2020-05-21,99
2020-05-22,97
2020-05-23,87
2020-05-24,97
2020-05-25,94
2020-05-26,93
2020-05-27,88
2020-05-28,62
2020-05-29,67
2020-05-30,100
2020-05-31,93
2020-06-01,78
2020-06-02,96
2020-06-03,76
2020-06-04,96
2020-06-05,93
2020-06-06,88
2020-06-07,88
2020-06-08,89
2020-06-09,95
2020-06-10,90
2020-06-11,100
2020-06-12,89
2020-06-13,88
2020-06-14,85
2020-06-15,92
2020-06-16,90
2020-06-17,90
2020-06-18,83
2020-06-19,75
2020-06-20,76
2020-06-21,76
2020-06-22,88
2020-06-23,92
2020-06-24,100
2020-06-25,83
2020-06-26,89
2020-06-27,85
2020-06-28,92
2020-06-29,82
2020-06-30,84
2020-07-01,84
2020-07-02,80
2020-07-03,78
2020-07-04,74
2020-07-05,78
2020-07-06,80
2020-07-07,87
2020-07-08,100
2020-07-09,92
2020-07-10,86
2020-07-11,79
2020-07-12,81
2020-07-13,87
2020-07-14,84
2020-07-15,80
2020-07-16,91
2020-07-17,83
2020-07-18,88
2020-07-19,86
2020-07-20,89
2020-07-21,93
2020-07-22,100
2020-07-23,62
2020-07-24,62
2020-07-25,76
2020-07-26,88
2020-07-27,100
2020-07-28,75
2020-07-29,69
2020-07-30,48
2020-07-31,60
2020-08-01,85
2020-08-02,100
2020-08-03,75
2020-08-04,61
2020-08-05,63
2020-08-06,96
2020-08-07,85
2020-08-08,84
2020-08-09,77
2020-08-10,76
2020-08-11,73
2020-08-12,71
2020-08-13,68
2020-08-14,100
2020-08-15,90
2020-08-16,78
2020-08-17,80
2020-08-18,64
2020-08-19,65
2020-08-20,97
2020-08-21,91
2020-08-22,97
2020-08-23,90
2020-08-24,84
2020-08-25,86
2020-08-26,81
2020-08-27,55
2020-08-28,52
2020-08-29,52
2020-08-30,63
2020-08-31,64
2020-09-01,100
2020-09-02,90
2020-09-03,87
2020-09-04,79
2020-09-05,93
2020-09-06,90
2020-09-07,77
2020-09-08,65
2020-09-09,63
2020-09-10,100
2020-09-11,86
2020-09-12,84
2020-09-13,97
2020-09-14,87
2020-09-15,85
2020-09-16,81
2020-09-17,100
2020-09-18,91
2020-09-19,88
2020-09-20,88
2020-09-21,96
2020-09-22,89
2020-09-23,84
2020-09-24,97
2020-09-25,99
2020-09-26,95
2020-09-27,87
2020-09-28,91
2020-09-29,94
2020-09-30,77
2020-10-01,98
2020-10-02,100
2020-10-03,90
2020-10-04,94
2020-10-05,91
2020-10-06,93
2020-10-07,86
2020-10-08,82
2020-10-09,86
2020-10-10,98
2020-10-11,87
2020-10-12,100
2020-10-13,94
2020-10-14,85
2020-10-15,75
2020-10-16,70
2020-10-17,62
2020-10-18,66
2020-10-19,74
2020-10-20,80
2020-10-21,100
2020-10-22,100
2020-10-23,79
2020-10-24,69
2020-10-25,69
2020-10-26,69
2020-10-27,70
2020-10-28,73
2020-10-29,88
2020-10-30,84
2020-10-31,92
2020-11-01,86
2020-11-02,86
2020-11-03,81
2020-11-04,76
2020-11-05,73
2020-11-06,89
2020-11-07,100
2020-11-08,81
2020-11-09,79
2020-11-10,71
2020-11-11,87
2020-11-12,82
2020-11-13,86
2020-11-14,74
2020-11-15,68
2020-11-16,73
2020-11-17,92
2020-11-18,100
2020-11-19,41
2020-11-20,51
2020-11-21,60
2020-11-22,62
2020-11-23,87
2020-11-24,100
2020-11-25,98
2020-11-26,69
2020-11-27,49
2020-11-28,47
2020-11-29,48
2020-11-30,63
2020-12-01,76
2020-12-02,52
2020-12-03,98
2020-12-04,98
2020-12-05,92
2020-12-06,83
2020-12-07,82
2020-12-08,80
2020-12-09,82
2020-12-10,69
2020-12-11,78
2020-12-12,67
2020-12-13,73
2020-12-14,72
2020-12-15,70
2020-12-16,100
2020-12-17,100
2020-12-18,66
2020-12-19,70
2020-12-20,61
2020-12-21,58
2020-12-22,68
2020-12-23,55
2020-12-24,45
2020-12-25,50
2020-12-26,54
2020-12-27,84
2020-12-28,100
2020-12-29,79
2020-12-30,84
2020-12-31,30
2021-01-01,29
2021-01-02,45
2021-01-03,84
2021-01-04,100
2021-01-05,74
2021-01-06,80
2021-01-07,100
2021-01-08,96
2021-01-09,83
2021-01-10,98
2021-01-11,98
2021-01-12,70
2021-01-13,60
2021-01-14,77
2021-01-15,67
2021-01-16,65
2021-01-17,58
2021-01-18,55
2021-01-19,100
2021-01-20,83
2021-01-21,90
2021-01-22,85
2021-01-23,69
2021-01-24,78
2021-01-25,97
2021-01-26,81
2021-01-27,75
2021-01-28,59
2021-01-29,69
2021-01-30,57
2021-01-31,54
2021-02-01,49
2021-02-02,73
2021-02-03,100
2021-02-04,98
2021-02-05,87
2021-02-06,88
2021-02-07,82
2021-02-08,95
2021-02-09,100
2021-02-10,89
2021-02-11,86
2021-02-12,87
2021-02-13,79
2021-02-14,84
2021-02-15,82
2021-02-16,80
2021-02-17,84
2021-02-18,79
2021-02-19,78
2021-02-20,95
2021-02-21,82
2021-02-22,84
2021-02-23,100
2021-02-24,73
2021-02-25,86
2021-02-26,86
2021-02-27,76
2021-02-28,89
2021-03-01,76
2021-03-02,68
2021-03-03,67
2021-03-04,72
2021-03-05,69
2021-03-06,75
2021-03-07,81
2021-03-08,96
2021-03-09,100
2021-03-10,94
2021-03-11,81
2021-03-12,76
2021-03-13,100
2021-03-14,94
2021-03-15,80
2021-03-16,75
2021-03-17,65
2021-03-18,98
2021-03-19,100
2021-03-20,98
2021-03-21,97
2021-03-22,96
2021-03-23,94
2021-03-24,97
2021-03-25,92
2021-03-26,82
2021-03-27,80
2021-03-28,77
2021-03-29,97
2021-03-30,100
2021-03-31,100
2021-04-01,70
2021-04-02,100
2021-04-03,96
2021-04-04,78
2021-04-05,73
2021-04-06,75
2021-04-07,68
2021-04-08,61
2021-04-09,55
2021-04-10,67
2021-04-11,68
2021-04-12,68
2021-04-13,87
2021-04-14,100
2021-04-15,100
2021-04-16,99
2021-04-17,82
2021-04-18,100
2021-04-19,80
2021-04-20,77
2021-04-21,74
2021-04-22,100
2021-04-23,98
2021-04-24,72
2021-04-25,69
2021-04-26,73
