date,bitcoin,ethereum,crypto
2020-01-01,60,77,69
2020-01-02,68,92,87
2020-01-03,78,91,86
2020-01-04,68,74,81
2020-01-05,69,86,83
2020-01-06,80,91,93
2020-01-07,94,100,100
2020-01-08,100,99,92
2020-01-09,80,69,68
2020-01-10,78,64,70
2020-01-11,73,64,65
2020-01-12,65,63,62
2020-01-13,71,68,69
2020-01-14,100,100,92
2020-01-15,99,99,100
2020-01-16,84,74,86
2020-01-17,86,100,81
2020-01-18,81,91,78
2020-01-19,88,81,72
2020-01-20,80,71,77
2020-01-21,75,69,80
2020-01-22,74,69,79
2020-01-23,79,77,95
2020-01-24,73,72,84
2020-01-25,68,62,76
2020-01-26,65,70,74
2020-01-27,82,84,89
2020-01-28,92,85,100
2020-01-29,100,100,98
2020-01-30,96,88,92
2020-01-31,88,80,89
2020-02-01,80,69,80
2020-02-02,78,83,86
2020-02-03,78,83,88
2020-02-04,85,80,97
2020-02-05,94,100,100
2020-02-06,84,61,56
2020-02-07,78,66,50
2020-02-08,77,61,46
2020-02-09,96,59,53
2020-02-10,87,57,54
2020-02-11,87,62,70
2020-02-12,100,100,100
2020-02-13,93,88,78
2020-02-14,80,77,64
2020-02-15,80,79,67
2020-02-16,78,67,62
2020-02-17,84,67,59
2020-02-18,79,65,65
2020-02-19,83,66,62
2020-02-20,94,88,94
2020-02-21,86,77,78
2020-02-22,73,69,73
2020-02-23,76,75,75
2020-02-24,89,80,86
2020-02-25,87,74,96
2020-02-26,100,82,86
2020-02-27,93,94,89
2020-02-28,97,85,85
2020-02-29,83,69,78
2020-03-01,78,70,81
2020-03-02,88,80,86
2020-03-03,83,77,91
2020-03-04,86,73,100
2020-03-05,64,75,95
2020-03-06,60,79,88
2020-03-07,51,75,89
2020-03-08,58,77,91
2020-03-09,100,100,98
2020-03-10,76,83,87
2020-03-11,65,75,81
2020-03-12,73,87,100
2020-03-13,100,100,99
2020-03-14,63,71,84
2020-03-15,55,64,74
2020-03-16,70,75,79
2020-03-17,58,64,73
2020-03-18,54,61,74
2020-03-19,100,95,100
2020-03-20,98,100,98
2020-03-21,87,82,89
2020-03-22,74,76,86
2020-03-23,83,76,89
2020-03-24,80,79,92
2020-03-25,73,73,88
2020-03-26,92,95,97
2020-03-27,88,89,98
2020-03-28,90,91,100
2020-03-29,88,86,98
2020-03-30,88,95,93
2020-03-31,81,85,99
2020-04-01,81,89,98
2020-04-02,99,71,76
2020-04-03,89,72,73
2020-04-04,83,64,76
2020-04-05,82,60,72
2020-04-06,97,93,84
2020-04-07,100,100,84
2020-04-08,90,84,100
2020-04-09,87,89,90
2020-04-10,100,92,100
2020-04-11,89,82,92
2020-04-12,90,89,83
2020-04-13,96,89,88
2020-04-14,91,84,82
2020-04-15,90,79,86
2020-04-16,100,78,87
2020-04-17,93,73,94
2020-04-18,97,94,100
2020-04-19,89,100,93
2020-04-20,94,83,92
2020-04-21,94,78,93
2020-04-22,91,77,93
2020-04-23,68,70,85
2020-04-24,67,65,79
2020-04-25,62,81,88
2020-04-26,65,86,93
2020-04-27,66,79,87
2020-04-28,68,71,87
2020-04-29,100,100,100
2020-04-30,100,100,94
2020-05-01,81,78,91
2020-05-02,76,80,98
2020-05-03,79,79,90
2020-05-04,75,76,90
2020-05-05,72,72,89
2020-05-06,79,73,90
2020-05-07,70,86,82
2020-05-08,79,87,89
2020-05-09,65,85,84
2020-05-10,85,100,100
2020-05-11,100,81,83
2020-05-12,76,83,79
2020-05-13,61,79,81
2020-05-14,100,97,94
2020-05-15,84,87,88
2020-05-16,75,82,96
2020-05-17,74,100,100
2020-05-18,76,97,97
2020-05-19,70,89,90
2020-05-20,68,86,88
2020-05-21,100,99,93
2020-05-22,94,97,100
2020-05-23,84,87,99
2020-05-24,84,97,98
2020-05-25,90,94,95
2020-05-26,89,93,99
2020-05-27,86,88,92
2020-05-28,80,62,94
2020-05-29,77,67,89
2020-05-30,72,100,97
2020-05-31,74,93,100
2020-06-01,70,78,86
2020-06-02,100,96,96
2020-06-03,79,76,87
2020-06-04,98,96,100
2020-06-05,95,93,85
2020-06-06,84,88,87
2020-06-07,89,88,93
2020-06-08,87,89,93
2020-06-09,89,95,90
2020-06-10,89,90,100
2020-06-11,100,100,89
2020-06-12,91,89,86
2020-06-13,83,88,86
2020-06-14,80,85,83
2020-06-15,94,92,87
2020-06-16,91,90,90
2020-06-17,87,90,86
2020-06-18,96,83,100
2020-06-19,93,75,99
2020-06-20,85,76,90
2020-06-21,82,76,100
2020-06-22,94,88,100
2020-06-23,99,92,95
2020-06-24,97,100,100
2020-06-25,100,83,74
2020-06-26,99,89,100
2020-06-27,92,85,72
2020-06-28,100,92,70
2020-06-29,97,82,68
2020-06-30,93,84,70
2020-07-01,95,84,69
2020-07-02,96,80,77
2020-07-03,91,78,71
2020-07-04,85,74,73
2020-07-05,83,78,71
2020-07-06,91,80,75
2020-07-07,93,87,80
2020-07-08,100,100,100
2020-07-09,87,92,87
2020-07-10,83,86,77
2020-07-11,76,79,78
2020-07-12,74,81,84
2020-07-13,83,87,82
2020-07-14,88,84,88
2020-07-15,100,80,94
2020-07-16,91,91,92
2020-07-17,75,83,84
2020-07-18,100,88,87
2020-07-19,65,86,88
2020-07-20,64,89,90
2020-07-21,68,93,88
2020-07-22,65,100,93
2020-07-23,55,62,84
2020-07-24,58,62,81
2020-07-25,57,76,87
2020-07-26,68,88,96
2020-07-27,95,100,100
2020-07-28,100,75,99
2020-07-29,84,69,95
2020-07-30,77,48,79
2020-07-31,80,60,81
2020-08-01,100,85,95
2020-08-02,100,100,100
2020-08-03,85,75,90
2020-08-04,72,61,87
2020-08-05,81,63,83
2020-08-06,100,96,88
2020-08-07,96,85,88
2020-08-08,90,84,92
2020-08-09,89,77,100
2020-08-10,98,76,91
2020-08-11,93,73,93
2020-08-12,89,71,100
2020-08-13,84,68,81
2020-08-14,83,100,83
2020-08-15,80,90,81
2020-08-16,81,78,90
2020-08-17,100,80,100
2020-08-18,99,64,79
2020-08-19,85,65,77
2020-08-20,93,97,97
2020-08-21,90,91,100
2020-08-22,89,97,91
2020-08-23,83,90,92
2020-08-24,86,84,89
2020-08-25,91,86,92
2020-08-26,85,81,91
2020-08-27,99,55,96
2020-08-28,92,52,85
2020-08-29,83,52,86
2020-08-30,89,63,97
2020-08-31,90,64,90
2020-09-01,99,100,100
2020-09-02,100,90,98
2020-09-03,93,87,58
2020-09-04,100,79,61
2020-09-05,89,93,59
2020-09-06,86,90,53
2020-09-07,84,77,49
2020-09-08,82,65,46
2020-09-09,79,63,100
2020-09-10,94,100,46
2020-09-11,87,86,51
2020-09-12,85,84,50
2020-09-13,86,97,62
2020-09-14,94,87,50
2020-09-15,95,85,49
2020-09-16,95,81,47
2020-09-17,95,100,98
2020-09-18,88,91,95
2020-09-19,84,88,96
2020-09-20,85,88,100
2020-09-21,94,96,91
2020-09-22,90,89,99
2020-09-23,90,84,91
2020-09-24,99,97,91
2020-09-25,97,99,100
2020-09-26,90,95,89
2020-09-27,85,87,86
2020-09-28,91,91,87
2020-09-29,99,94,87
2020-09-30,87,77,87
2020-10-01,100,98,97
2020-10-02,98,100,97
2020-10-03,83,90,88
2020-10-04,87,94,86
2020-10-05,98,91,88
2020-10-06,99,93,100
2020-10-07,92,86,93
2020-10-08,86,82,100
2020-10-09,89,86,85
2020-10-10,96,98,91
2020-10-11,90,87,86
2020-10-12,100,100,89
2020-10-13,88,94,86
2020-10-14,95,85,87
2020-10-15,58,75,79
