date,lido_eth_tvl
2020-12-19 23:00:00+00:00,1484680
2020-12-20 23:00:00+00:00,2697598
2020-12-21 23:00:00+00:00,3410253
2020-12-22 23:00:00+00:00,4563625
2020-12-23 23:00:00+00:00,4661610
2020-12-24 23:00:00+00:00,5347131
2020-12-25 23:00:00+00:00,7325073
2020-12-26 23:00:00+00:00,7408641
2020-12-27 23:00:00+00:00,8347237
2020-12-28 23:00:00+00:00,11344171
2020-12-29 23:00:00+00:00,11765090
2020-12-30 23:00:00+00:00,12119912
2020-12-31 23:00:00+00:00,12582167
2021-01-01 23:00:00+00:00,12543454
2021-01-02 23:00:00+00:00,12514881
2021-01-03 23:00:00+00:00,14195762
2021-01-04 23:00:00+00:00,16274684
2021-01-05 23:00:00+00:00,18325628
2021-01-06 23:00:00+00:00,20965573
2021-01-07 23:00:00+00:00,22570112
2021-01-08 23:00:00+00:00,25529569
2021-01-09 23:00:00+00:00,26299896
2021-01-10 23:00:00+00:00,33624539
2021-01-11 23:00:00+00:00,28869701
2021-01-12 23:00:00+00:00,30663261
2021-01-13 23:00:00+00:00,50094240
2021-01-14 23:00:00+00:00,73598480
2021-01-15 23:00:00+00:00,81861176
2021-01-16 23:00:00+00:00,85283818
2021-01-17 23:00:00+00:00,86160071
2021-01-18 23:00:00+00:00,87391374
2021-01-19 23:00:00+00:00,99335242
2021-01-20 23:00:00+00:00,100287613
2021-01-21 23:00:00+00:00,96701078
2021-01-22 23:00:00+00:00,92488787
2021-01-23 23:00:00+00:00,110569488
2021-01-24 23:00:00+00:00,121085410
2021-01-25 23:00:00+00:00,127510734
2021-01-26 23:00:00+00:00,127250330
2021-01-27 23:00:00+00:00,126687251
2021-01-28 23:00:00+00:00,130256710
2021-01-29 23:00:00+00:00,137228376
2021-01-30 23:00:00+00:00,135996393
2021-01-31 23:00:00+00:00,142145275
2021-02-01 23:00:00+00:00,142743932
2021-02-02 23:00:00+00:00,167649885
2021-02-03 23:00:00+00:00,192995719
2021-02-04 23:00:00+00:00,207027159
2021-02-05 23:00:00+00:00,211317161
2021-02-06 23:00:00+00:00,222659990
2021-02-07 23:00:00+00:00,223083142
2021-02-08 23:00:00+00:00,226682734
2021-02-09 23:00:00+00:00,244636373
2021-02-10 23:00:00+00:00,258690801
2021-02-11 23:00:00+00:00,257373193
2021-02-12 23:00:00+00:00,255301490
2021-02-13 23:00:00+00:00,261404596
2021-02-14 23:00:00+00:00,300220386
2021-02-15 23:00:00+00:00,289892552
2021-02-16 23:00:00+00:00,294701079
2021-02-17 23:00:00+00:00,298817631
2021-02-18 23:00:00+00:00,340560743
2021-02-19 23:00:00+00:00,347618380
2021-02-20 23:00:00+00:00,363633943
2021-02-21 23:00:00+00:00,357021502
2021-02-22 23:00:00+00:00,333163674
2021-02-23 23:00:00+00:00,267003426
2021-02-24 23:00:00+00:00,303534847
2021-02-25 23:00:00+00:00,294421081
2021-02-26 23:00:00+00:00,270362309
2021-02-27 23:00:00+00:00,269803675
2021-02-28 23:00:00+00:00,250111049
2021-03-01 23:00:00+00:00,279680304
2021-03-02 23:00:00+00:00,284790615
2021-03-03 23:00:00+00:00,294543162
2021-03-04 23:00:00+00:00,287090601
2021-03-05 23:00:00+00:00,272111645
2021-03-06 23:00:00+00:00,288340247
2021-03-07 23:00:00+00:00,308683748
2021-03-08 23:00:00+00:00,316855760
2021-03-09 23:00:00+00:00,337615557
2021-03-10 23:00:00+00:00,338318383
2021-03-11 23:00:00+00:00,329516422
2021-03-12 23:00:00+00:00,332363356
2021-03-13 23:00:00+00:00,343424416
2021-03-14 23:00:00+00:00,350346676
2021-03-15 23:00:00+00:00,332987874
2021-03-16 23:00:00+00:00,336938520
2021-03-17 23:00:00+00:00,331035665
2021-03-18 23:00:00+00:00,341187051
2021-03-19 23:00:00+00:00,341131860
2021-03-20 23:00:00+00:00,344888450
2021-03-21 23:00:00+00:00,332820032
2021-03-22 23:00:00+00:00,338748427
2021-03-23 23:00:00+00:00,318033242
2021-03-24 23:00:00+00:00,322599568
2021-03-25 23:00:00+00:00,305245268
2021-03-26 23:00:00+00:00,306173445
2021-03-27 23:00:00+00:00,316008858
2021-03-28 22:00:00+00:00,323472485
2021-03-29 22:00:00+00:00,332998581
2021-03-30 22:00:00+00:00,351751353
2021-03-31 22:00:00+00:00,342734866
2021-04-01 22:00:00+00:00,369160084
2021-04-02 22:00:00+00:00,380004694
2021-04-03 22:00:00+00:00,402368519
2021-04-04 22:00:00+00:00,392649367
2021-04-05 22:00:00+00:00,395915848
2021-04-06 22:00:00+00:00,408984803
2021-04-07 22:00:00+00:00,398661578
2021-04-08 22:00:00+00:00,390391303
2021-04-09 22:00:00+00:00,403329152
2021-04-10 22:00:00+00:00,445455209
2021-04-11 22:00:00+00:00,439859559
2021-04-12 22:00:00+00:00,478455294
2021-04-13 22:00:00+00:00,502950687
2021-04-14 22:00:00+00:00,533325146
2021-04-15 22:00:00+00:00,557203218
2021-04-16 22:00:00+00:00,544095450
2021-04-17 22:00:00+00:00,553807491
2021-04-18 22:00:00+00:00,483413578
2021-04-19 22:00:00+00:00,561252496
2021-04-20 22:00:00+00:00,537507459
2021-04-21 22:00:00+00:00,577051890
2021-04-22 22:00:00+00:00,626080774
2021-04-23 22:00:00+00:00,550929281
2021-04-24 22:00:00+00:00,570580413
2021-04-25 22:00:00+00:00,568476766
2021-04-26 22:00:00+00:00,626970349
2021-04-27 22:00:00+00:00,642914771
2021-04-28 22:00:00+00:00,667348311
2021-04-29 22:00:00+00:00,710322500
2021-04-30 22:00:00+00:00,716599873
2021-05-01 22:00:00+00:00,730556772
2021-05-02 22:00:00+00:00,748420093
2021-05-03 22:00:00+00:00,823908713
2021-05-04 22:00:00+00:00,873318082
2021-05-05 22:00:00+00:00,926944691
2021-05-06 22:00:00+00:00,953302065
2021-05-07 22:00:00+00:00,1068599369
2021-05-08 22:00:00+00:00,1166382682
2021-05-09 22:00:00+00:00,1313104389
2021-05-10 22:00:00+00:00,1387293174
2021-05-11 22:00:00+00:00,1349399574
2021-05-12 22:00:00+00:00,1447043988
2021-05-14 00:00:00+00:00,1392324939
2021-05-15 00:00:00+00:00,1264822899
2021-05-16 00:00:00+00:00,1244405438
2021-05-17 00:00:00+00:00,1153151919
2021-05-18 00:00:00+00:00,1193237928
2021-05-19 00:00:00+00:00,880044507
2021-05-20 00:00:00+00:00,975411319
2021-05-21 00:00:00+00:00,813013716
2021-05-22 00:00:00+00:00,969448266
2021-05-23 00:00:00+00:00,866137323
2021-05-24 00:00:00+00:00,1086214962
2021-05-25 00:00:00+00:00,1138596649
2021-05-26 00:00:00+00:00,1193296825
2021-05-27 00:00:00+00:00,1217940547
2021-05-28 00:00:00+00:00,1066213473
2021-05-29 00:00:00+00:00,1005369859
2021-05-30 00:00:00+00:00,1064601440
2021-05-31 00:00:00+00:00,1196393936
2021-06-01 00:00:00+00:00,1176532461
2021-06-02 00:00:00+00:00,1232608870
2021-06-03 00:00:00+00:00,1298955687
2021-06-04 00:00:00+00:00,1247754730
