date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,XRP_Open,XRP_High,XRP_Low,XRP_Close,XRP_Volume,SOL_Open,SOL_High,SOL_Low,SOL_Close,SOL_Volume,ADA_Open,ADA_High,ADA_Low,ADA_Close,ADA_Volume,DOGE_Open,DOGE_High,DOGE_Low,DOGE_Close,DOGE_Volume,AVAX_Open,AVAX_High,AVAX_Low,AVAX_Close,AVAX_Volume,DOT_Open,DOT_High,DOT_Low,DOT_Close,DOT_Volume
2017-09-25,4201000.0,4333000.0,4175000.0,4322000.0,132.48475499,324500.0,326500.0,320000.0,325000.0,1421.85542702,200.0,205.0,199.0,203.0,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-26,4317000.0,4418000.0,4311000.0,4321000.0,22.78833969,325000.0,328500.0,320000.0,321500.0,0.0516,203.0,217.0,203.0,211.0,0.0516,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-27,4322000.0,4677000.0,4318000.0,4657000.0,32.2696617,321000.0,342500.0,320000.0,342500.0,0.0507,211.0,235.0,209.0,232.0,0.0504,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-28,4657000.0,4772000.0,4519000.0,4586000.0,80.5882434,342000.0,346500.0,327000.0,332500.0,0.0497,233.0,235.0,215.0,222.0,0.0498,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-29,4586000.0,4709000.0,4476000.0,4657000.0,59.35237346,331000.0,333500.0,312500.0,327500.0,0.0523,221.0,223.0,212.0,220.0,0.0523,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,4657000.0,4896000.0,4651000.0,4895000.0,19.99848332,327500.0,341500.0,327000.0,341000.0,0.0525,220.0,228.0,219.0,224.0,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,4889000.0,4978000.0,4682000.0,4962000.0,27.32333246,341000.0,344500.0,331500.0,342000.0,0.0524,225.0,235.0,220.0,234.0,0.0524,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,4962000.0,5095000.0,4956000.0,5025000.0,31.72800385,342000.0,346000.0,336500.0,340000.0,0.0524,235.0,237.0,227.0,232.0,0.0524,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,5021000.0,5079000.0,4811000.0,4964000.0,11.89930699,340000.0,345500.0,324000.0,338000.0,0.0487,232.0,235.0,225.0,235.0,0.0489,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,4987000.0,5002000.0,4837000.0,4895000.0,7.03874388,336000.0,343000.0,333500.0,338000.0,0.0473,234.0,253.0,231.0,248.0,0.047,,,,,,,,,,,,,,,,,,,,,,,,,
