date,curve-dex_eth_tvl
2020-02-09 00:00:00+00:00,1163733
2020-02-10 00:00:00+00:00,1372109
2020-02-11 00:00:00+00:00,8936
2020-02-12 00:00:00+00:00,38139
2020-02-13 00:00:00+00:00,273331
2020-02-14 00:00:00+00:00,1213755
2020-02-15 00:00:00+00:00,1820510
2020-02-16 00:00:00+00:00,2201773
2020-02-17 00:00:00+00:00,3759265
2020-02-18 00:00:00+00:00,4744228
2020-02-19 00:00:00+00:00,4722690
2020-02-20 00:00:00+00:00,4878760
2020-02-21 00:00:00+00:00,5463582
2020-02-22 00:00:00+00:00,5858274
2020-02-23 00:00:00+00:00,5858033
2020-02-24 00:00:00+00:00,6609923
2020-02-25 00:00:00+00:00,6922673
2020-02-26 00:00:00+00:00,7070846
2020-02-27 00:00:00+00:00,7379504
2020-02-28 00:00:00+00:00,6546834
2020-02-29 00:00:00+00:00,6220751
2020-03-01 00:00:00+00:00,6165412
2020-03-02 00:00:00+00:00,7728222
2020-03-03 00:00:00+00:00,8017541
2020-03-04 00:00:00+00:00,8634720
2020-03-05 00:00:00+00:00,8502678
2020-03-06 00:00:00+00:00,8719687
2020-03-07 00:00:00+00:00,9284550
2020-03-08 00:00:00+00:00,9389837
2020-03-09 00:00:00+00:00,9428474
2020-03-10 00:00:00+00:00,9435472
2020-03-11 00:00:00+00:00,9879108
2020-03-12 00:00:00+00:00,9685931
2020-03-13 00:00:00+00:00,8327827
2020-03-14 00:00:00+00:00,8677925
2020-03-15 00:00:00+00:00,9219342
2020-03-16 00:00:00+00:00,10059294
2020-03-17 00:00:00+00:00,9750298
2020-03-18 00:00:00+00:00,9845306
2020-03-19 00:00:00+00:00,9449456
2020-03-20 00:00:00+00:00,9733492
2020-03-21 00:00:00+00:00,9733634
2020-03-22 00:00:00+00:00,9478976
2020-03-23 00:00:00+00:00,8861705
2020-03-24 00:00:00+00:00,8907410
2020-03-25 00:00:00+00:00,8837491
2020-03-26 00:00:00+00:00,8308593
2020-03-27 00:00:00+00:00,8336110
2020-03-28 00:00:00+00:00,8222028
2020-03-29 00:00:00+00:00,8245852
2020-03-30 00:00:00+00:00,8230167
2020-03-31 00:00:00+00:00,8352047
2020-04-01 00:00:00+00:00,8296823
2020-04-02 00:00:00+00:00,8256559
2020-04-03 00:00:00+00:00,8332824
2020-04-04 00:00:00+00:00,8403195
2020-04-05 00:00:00+00:00,8425144
2020-04-06 00:00:00+00:00,8414112
2020-04-07 00:00:00+00:00,8612067
2020-04-08 00:00:00+00:00,8773125
2020-04-09 00:00:00+00:00,8798742
2020-04-10 00:00:00+00:00,9201425
2020-04-11 00:00:00+00:00,8842564
2020-04-12 00:00:00+00:00,8958124
2020-04-13 00:00:00+00:00,9345173
2020-04-14 00:00:00+00:00,8712066
2020-04-15 00:00:00+00:00,8906671
2020-04-16 00:00:00+00:00,7932635
2020-04-17 00:00:00+00:00,7815798
2020-04-18 00:00:00+00:00,7870971
2020-04-19 00:00:00+00:00,7998600
2020-04-20 00:00:00+00:00,6914533
2020-04-21 00:00:00+00:00,6365744
2020-04-22 00:00:00+00:00,6268488
2020-04-23 00:00:00+00:00,7734405
2020-04-24 00:00:00+00:00,10812138
2020-04-25 00:00:00+00:00,11405445
2020-04-26 00:00:00+00:00,12002871
2020-04-27 00:00:00+00:00,12209819
2020-04-28 00:00:00+00:00,12344466
2020-04-29 00:00:00+00:00,12409473
2020-04-30 00:00:00+00:00,12697303
2020-05-01 00:00:00+00:00,12553192
2020-05-02 00:00:00+00:00,12615378
2020-05-03 00:00:00+00:00,12786795
2020-05-04 00:00:00+00:00,12955746
2020-05-05 00:00:00+00:00,12878031
2020-05-06 00:00:00+00:00,13031401
2020-05-07 00:00:00+00:00,13939214
2020-05-08 00:00:00+00:00,14400117
2020-05-09 00:00:00+00:00,14297036
2020-05-10 00:00:00+00:00,14378242
2020-05-11 00:00:00+00:00,13965069
2020-05-12 00:00:00+00:00,14308016
2020-05-13 00:00:00+00:00,14363007
2020-05-14 00:00:00+00:00,14373353
2020-05-15 00:00:00+00:00,15380944
2020-05-16 00:00:00+00:00,15379380
