date,fundingRate
2025-05-04,-2.67e-05
2025-05-05,1.1243333333333333e-05
2025-05-06,4.913333333333335e-06
2025-05-07,3.724333333333333e-05
2025-05-08,7.760333333333334e-05
2025-05-09,0.0001
2025-05-10,9.604333333333334e-05
2025-05-11,6.600333333333333e-05
2025-05-12,7.601666666666667e-05
2025-05-13,8.744333333333334e-05
2025-05-14,6.739e-05
2025-05-15,8.566e-05
2025-05-16,8.001e-05
2025-05-17,9.996666666666667e-06
2025-05-18,3.4683333333333334e-05
2025-05-19,3.595666666666667e-05
2025-05-20,5.331333333333333e-05
2025-05-21,4.549333333333334e-05
2025-05-22,7.047000000000001e-05
2025-05-23,6.424666666666666e-05
2025-05-24,5.382333333333334e-05
2025-05-25,6.092666666666667e-05
2025-05-26,4.3809999999999996e-05
2025-05-27,8.008666666666667e-05
2025-05-28,0.0001
2025-05-29,9.440333333333333e-05
2025-05-30,7.725333333333333e-05
2025-05-31,4.7273333333333334e-05
2025-06-01,4.945333333333333e-05
2025-06-02,5.184e-05
2025-06-03,4.909e-05
2025-06-04,6.636666666666668e-05
2025-06-05,5.7543333333333335e-05
2025-06-06,1.3933333333333333e-05
2025-06-07,6.969333333333333e-05
2025-06-08,8.072333333333333e-05
2025-06-09,4.2663333333333335e-05
2025-06-10,0.0001
2025-06-11,0.0001
2025-06-12,7.123e-05
2025-06-13,-1.1933333333333343e-06
2025-06-14,2.324666666666667e-05
2025-06-15,5.7950000000000006e-05
2025-06-16,5.8643333333333335e-05
2025-06-17,4.884e-05
2025-06-18,4.9833333333333336e-05
2025-06-19,5.026333333333333e-05
2025-06-20,6.566e-05
2025-06-21,-4.526666666666668e-06
2025-06-22,7.183333333333334e-06
2025-06-23,3.393333333333333e-06
2025-06-24,1.258e-05
2025-06-25,1.1300000000000004e-06
2025-06-26,3.906666666666666e-05
2025-06-27,2.1436666666666668e-05
2025-06-28,4.3683333333333336e-05
2025-06-29,4.998333333333334e-05
2025-06-30,4.871666666666667e-05
2025-07-01,2.7676666666666665e-05
2025-07-02,4.017333333333334e-05
2025-07-03,8.072666666666667e-05
2025-07-04,3.5543333333333336e-05
2025-07-05,3.635333333333333e-05
2025-07-06,6.213666666666667e-05
2025-07-07,5.6630000000000005e-05
2025-07-08,5.6139999999999994e-05
2025-07-09,5.980666666666667e-05
2025-07-10,5.331666666666667e-05
2025-07-11,0.0001
2025-07-12,7.274e-05
2025-07-13,5.254333333333334e-05
2025-07-14,6.999333333333334e-05
2025-07-15,8.711333333333332e-05
2025-07-16,0.0001
2025-07-17,0.0001
2025-07-18,0.0001
2025-07-19,0.0001
2025-07-20,0.0001
2025-07-21,0.0001
2025-07-22,0.0001
2025-07-23,0.0001
2025-07-24,0.0001
2025-07-25,0.0001
2025-07-26,0.0001
2025-07-27,9.400333333333334e-05
2025-07-28,0.0001
2025-07-29,8.164666666666668e-05
2025-07-30,3.037e-05
2025-07-31,4.660666666666667e-05
2025-08-01,7.409999999999999e-06
2025-08-02,4.805666666666666e-05
2025-08-03,5.4173333333333325e-05
2025-08-04,2.1476666666666667e-05
2025-08-05,1.5443333333333332e-05
2025-08-06,5.619666666666666e-05
2025-08-07,6.837333333333332e-05
2025-08-08,8.086666666666668e-05
2025-08-09,0.0001
2025-08-10,9.972000000000001e-05
2025-08-11,9.409e-05
2025-08-12,7.886333333333334e-05
2025-08-13,0.0001
2025-08-14,0.0001
2025-08-15,8.746333333333333e-05
2025-08-16,5.641666666666667e-05
2025-08-17,3.1116666666666666e-05
2025-08-18,6.260666666666667e-05
2025-08-19,0.0001
2025-08-20,6.462666666666667e-05
2025-08-21,4.9183333333333334e-05
2025-08-22,6.35e-05
2025-08-23,0.0001
2025-08-24,0.0001
2025-08-25,3.743666666666667e-05
2025-08-26,4.5666666666666664e-06
2025-08-27,1.7553333333333334e-05
2025-08-28,3.594333333333333e-05
2025-08-29,2.735e-05
2025-08-30,2.370333333333333e-05
2025-08-31,9.996666666666667e-06
2025-09-01,-1.0973333333333334e-05
2025-09-02,2.981666666666667e-05
2025-09-03,1.625e-05
2025-09-04,-7.426666666666667e-06
2025-09-05,-2.0433333333333333e-05
2025-09-06,1.970666666666667e-05
2025-09-07,6.0729999999999996e-05
2025-09-08,4.567000000000001e-05
2025-09-09,7.117e-05
2025-09-10,8.325333333333334e-05
2025-09-11,6.614e-05
2025-09-12,8.285999999999999e-05
2025-09-13,9.938333333333334e-05
2025-09-14,4.7449999999999995e-05
2025-09-15,5.8439999999999996e-05
2025-09-16,3.701e-05
2025-09-17,4.061e-05
2025-09-18,3.804333333333333e-05
2025-09-19,1.7233333333333333e-06
2025-09-20,-2.579999999999999e-06
2025-09-21,1.8316666666666664e-05
2025-09-22,-6.87e-06
2025-09-23,1.0706666666666665e-05
2025-09-24,-6.413333333333333e-06
2025-09-25,-2.2373333333333335e-05
2025-09-26,5.650999999999999e-05
2025-09-27,4.2596666666666665e-05
2025-09-28,6.801333333333333e-05
2025-09-29,1.288e-05
