date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,XRP_Open,XRP_High,XRP_Low,XRP_Close,XRP_Volume,SOL_Open,SOL_High,SOL_Low,SOL_Close,SOL_Volume,ADA_Open,ADA_High,ADA_Low,ADA_Close,ADA_Volume,DOGE_Open,DOGE_High,DOGE_Low,DOGE_Close,DOGE_Volume,AVAX_Open,AVAX_High,AVAX_Low,AVAX_Close,AVAX_Volume,DOT_Open,DOT_High,DOT_Low,DOT_Close,DOT_Volume
2025-05-05,135677000.0,136392000.0,132900000.0,134890000.0,1381.52834207,2602000.0,2613000.0,2546000.0,2593000.0,25387.90084827,3101.0,3130.0,3006.0,3038.0,80629977.19819295,207150.0,210300.0,203500.0,208950.0,192519.02653081,974.0,983.0,932.0,944.0,30028905.23380373,245.3,248.6,240.0,243.0,143925261.51511866,28610.0,28920.0,27530.0,28050.0,173495.15214615,5645.0,5726.0,5511.0,5587.0,457289.24641786
2025-05-06,134890000.0,137800000.0,133061000.0,137400000.0,1153.00089047,2591000.0,2599000.0,2496000.0,2581000.0,24819.73325829,3038.0,3068.0,2963.0,3057.0,96160427.39658725,208800.0,209300.0,201600.0,208600.0,193539.74551276,944.0,967.0,916.0,964.0,22095764.52114676,243.0,245.1,234.2,244.5,152170452.75795323,28050.0,28750.0,27460.0,28420.0,189743.43819997,5580.0,5648.0,5449.0,5641.0,440755.16166703
2025-05-07,137351000.0,138282000.0,136050000.0,137660000.0,1302.40326345,2582000.0,2620000.0,2541000.0,2573000.0,23970.61044751,3057.0,3076.0,2991.0,3018.0,56222408.35286857,208600.0,211700.0,205800.0,209350.0,163015.95118921,963.0,976.0,931.0,953.0,19301029.5919707,244.4,247.2,240.3,244.3,110772256.91527452,28410.0,28750.0,27150.0,27760.0,243125.75595768,5641.0,5683.0,5514.0,5632.0,329163.8315075
2025-05-08,137680000.0,145000000.0,137402000.0,144780000.0,3154.90070587,2573000.0,3112000.0,2565000.0,3097000.0,98048.9452723,3019.0,3262.0,3002.0,3262.0,151822564.62325573,209350.0,230500.0,208500.0,230500.0,570394.9202461,952.0,1079.0,949.0,1079.0,55125873.86653879,244.3,277.9,243.4,277.7,371773212.6020035,27760.0,31070.0,27640.0,31060.0,321102.69380025,5639.0,6291.0,5623.0,6254.0,938042.34084003
2025-05-09,144688000.0,146200000.0,143500000.0,143720000.0,2080.11567877,3097000.0,3483000.0,3051000.0,3273000.0,175356.79697053,3262.0,3393.0,3210.0,3267.0,215510627.71166924,230500.0,245850.0,226250.0,240900.0,734897.94224829,1079.0,1144.0,1060.0,1086.0,58761871.78824424,277.7,299.7,271.2,286.3,584877059.6929044,31060.0,33430.0,30700.0,32490.0,369214.67839366,6252.0,6800.0,6215.0,6697.0,1163074.58543054
2025-05-10,143726000.0,145315000.0,143500000.0,144964000.0,1243.871982,3274000.0,3596000.0,3241000.0,3577000.0,100113.51302626,3268.0,3425.0,3266.0,3417.0,147682329.60126844,240900.0,248200.0,235500.0,246250.0,528238.04796124,1086.0,1168.0,1077.0,1163.0,50115481.30752978,286.6,347.2,284.1,346.9,1272946633.2087786,32490.0,35990.0,32140.0,35680.0,368487.9456247,6697.0,7366.0,6691.0,7339.0,1845513.15684299
2025-05-11,144982000.0,146495000.0,144037000.0,145510000.0,1407.7751321,3577000.0,3600000.0,3419000.0,3517000.0,71358.23985657,3417.0,3434.0,3267.0,3307.0,121575215.26849489,246250.0,249900.0,237450.0,242250.0,457936.76680385,1163.0,1172.0,1095.0,1125.0,37703007.87474368,347.1,359.9,311.6,323.9,1241356836.6459155,35690.0,36000.0,33810.0,34630.0,215828.95705113,7351.0,7422.0,6900.0,7125.0,857244.73163672
2025-05-12,145510000.0,147300000.0,142532000.0,144875000.0,2643.29601827,3518000.0,3659000.0,3400000.0,3517000.0,95407.46932095,3307.0,3707.0,3298.0,3587.0,451484644.03319377,242250.0,253350.0,238400.0,245500.0,667452.15877283,1125.0,1209.0,1104.0,1153.0,78095337.84751482,323.8,353.3,312.3,326.0,1668764255.6995182,34630.0,37270.0,33600.0,35050.0,359770.6688497,7125.0,7512.0,6912.0,7156.0,834897.70944854
2025-05-13,144875000.0,146644000.0,143500000.0,145880000.0,1592.07970472,3517000.0,3819000.0,3409000.0,3750000.0,88179.5535739,3587.0,3639.0,3433.0,3618.0,217406969.68656963,245500.0,258750.0,235100.0,257400.0,460176.35736211,1153.0,1175.0,1093.0,1163.0,44831711.764844,326.1,339.0,307.7,337.1,783908802.5282773,35050.0,36600.0,33230.0,36040.0,231996.40318765,7156.0,7364.0,6821.0,7277.0,522788.60828941
2025-05-14,145965000.0,146430000.0,144249000.0,145718000.0,1166.66900037,3750000.0,3825000.0,3601000.0,3674000.0,79814.4379215,3618.0,3709.0,3560.0,3592.0,180535165.276651,257150.0,259450.0,244650.0,248750.0,371423.40025555,1163.0,1170.0,1114.0,1124.0,34241235.57938949,337.1,347.9,322.3,327.7,672980822.5923444,36030.0,37360.0,34950.0,35180.0,451781.36855309,7285.0,7400.0,6986.0,7015.0,522746.06895731
2025-05-15,145793000.0,146639000.0,143634000.0,146026000.0,1769.20196941,3673000.0,3727000.0,3519000.0,3587000.0,62486.83982119,3594.0,3615.0,3314.0,3363.0,200292808.11277354,248900.0,251050.0,235500.0,238100.0,329495.88416963,1126.0,1139.0,1055.0,1073.0,35787286.74311256,327.9,332.9,301.5,309.0,630804462.5831739,35200.0,35410.0,32310.0,33070.0,378034.62932427,7027.0,7085.0,6588.0,6713.0,632080.96342155
2025-05-16,146030000.0,147117000.0,145570000.0,146465000.0,1276.22182233,3588000.0,3726000.0,3564000.0,3594000.0,47530.09759806,3364.0,3435.0,3311.0,3370.0,123341041.35643551,238300.0,245100.0,236000.0,237350.0,239693.09414259,1074.0,1107.0,1065.0,1075.0,20877247.59675614,309.1,325.0,307.3,313.2,408747789.75021714,33100.0,33870.0,32150.0,32680.0,228855.73604277,6724.0,6982.0,6682.0,6729.0,355108.07648517
2025-05-17,146465000.0,146828000.0,145770000.0,146555000.0,861.64733995,3595000.0,3598000.0,3483000.0,3521000.0,37608.41814803,3370.0,3387.0,3280.0,3347.0,95374670.39747095,237400.0,240750.0,232700.0,236150.0,194858.17540526,1074.0,1106.0,1037.0,1057.0,30429996.83146546,313.3,315.0,300.5,305.4,292178463.7668882,32680.0,33000.0,31330.0,31570.0,138827.53385986,6740.0,6752.0,6496.0,6553.0,388832.50819347
2025-05-18,146580000.0,150600000.0,146555000.0,150458000.0,1866.44894706,3521000.0,3654000.0,3362000.0,3529000.0,71157.97452855,3347.0,3460.0,3330.0,3428.0,88546153.68023142,236150.0,249600.0,235000.0,244650.0,269997.29768265,1056.0,1099.0,1026.0,1074.0,25324774.82687685,305.5,335.6,304.5,329.4,528322465.3747502,31550.0,33720.0,30840.0,32600.0,212353.07417501,6553.0,6955.0,6439.0,6768.0,348135.38306336
2025-05-19,150296000.0,151199000.0,145500000.0,148699000.0,2401.08645573,3529000.0,3594000.0,3348000.0,3558000.0,71118.27245687,3428.0,3446.0,3255.0,3352.0,121737702.15598665,244650.0,245700.0,227750.0,235000.0,427772.66296831,1073.0,1080.0,1013.0,1046.0,24630502.54697104,329.4,333.1,304.9,316.0,552060664.1438612,32530.0,32750.0,30330.0,31380.0,287755.20198736,6772.0,6800.0,6304.0,6476.0,525779.88196256
2025-05-20,148700000.0,150990000.0,147743000.0,150424000.0,1919.88762969,3558000.0,3642000.0,3463000.0,3558000.0,53754.6372125,3350.0,3385.0,3283.0,3323.0,74201134.43566018,234950.0,243150.0,233150.0,237400.0,301614.23000896,1046.0,1060.0,1023.0,1052.0,17576486.92685456,316.0,324.4,309.0,318.6,435093231.9629808,31390.0,32090.0,30800.0,31820.0,166772.38789517,6483.0,6656.0,6400.0,6580.0,571817.1856865
2025-05-21,150424000.0,153301000.0,148810000.0,152356000.0,3078.69314991,3558000.0,3660000.0,3440000.0,3549000.0,80269.26115218,3322.0,3366.0,3274.0,3328.0,92888573.576287,237400.0,243800.0,232050.0,241200.0,326572.18704123,1051.0,1087.0,1038.0,1070.0,24029361.52140023,318.5,329.7,312.2,325.3,588081394.0461594,31840.0,32980.0,31200.0,32270.0,229786.62319104,6595.0,6766.0,6474.0,6595.0,510607.40285325
2025-05-22,152356000.0,155323000.0,152070000.0,154861000.0,2781.67594178,3550000.0,3738000.0,3541000.0,3693000.0,83489.64128097,3331.0,3408.0,3325.0,3369.0,96925916.9275256,241250.0,250750.0,240050.0,249300.0,348112.25330238,1070.0,1124.0,1069.0,1123.0,25703632.8100903,325.3,340.5,324.9,340.3,680711409.4519804,32260.0,35300.0,32150.0,35040.0,429764.42028298,6604.0,6906.0,6591.0,6858.0,444691.29492949
2025-05-23,154861000.0,155169000.0,149258000.0,149878000.0,3245.40940679,3695000.0,3776000.0,3500000.0,3536000.0,105682.44742343,3369.0,3426.0,3200.0,3211.0,166208096.8614756,249300.0,259450.0,241850.0,243000.0,706955.93266395,1123.0,1160.0,1041.0,1045.0,48148958.90691493,340.4,350.9,312.5,315.7,912632402.8966047,35060.0,35930.0,32080.0,32280.0,424161.94299191,6858.0,7060.0,6340.0,6367.0,1247497.21917583
2025-05-24,149962000.0,152700000.0,149422000.0,150660000.0,1063.00688169,3536000.0,3589000.0,3518000.0,3540000.0,26620.68492953,3212.0,3290.0,3200.0,3257.0,45647932.56370754,243100.0,248500.0,241800.0,245900.0,180114.06357006,1045.0,1070.0,1038.0,1045.0,15080510.09471911,315.7,321.3,312.7,315.1,270951303.3721833,32230.0,32780.0,31840.0,32090.0,186865.09651125,6374.0,6471.0,6321.0,6359.0,353963.56957971
2025-05-25,150680000.0,152946000.0,149916000.0,152133000.0,975.54766995,3540000.0,3574000.0,3461000.0,3558000.0,29647.76264445,3257.0,3271.0,3185.0,3269.0,56768549.58334189,245900.0,247300.0,237550.0,245100.0,207497.20766413,1045.0,1064.0,1022.0,1061.0,15799213.97911512,315.0,316.5,303.2,313.9,284603463.198104,32120.0,32820.0,30940.0,32720.0,180211.29452468,6359.0,6379.0,6112.0,6315.0,425263.83464256
