date,makerdao_eth_tvl
2019-01-04 00:00:00+00:00,273845651
2019-01-05 00:00:00+00:00,288674544
2019-01-06 00:00:00+00:00,297321259
2019-01-07 00:00:00+00:00,286168221
2019-01-08 00:00:00+00:00,285073686
2019-01-09 00:00:00+00:00,278233166
2019-01-10 00:00:00+00:00,105898455
2019-01-11 00:00:00+00:00,244360898
2019-01-12 00:00:00+00:00,278791638
2019-01-13 00:00:00+00:00,245391943
2019-01-14 00:00:00+00:00,178407107
2019-01-15 00:00:00+00:00,249206208
2019-01-16 00:00:00+00:00,251319025
2019-01-17 00:00:00+00:00,254476809
2019-01-18 00:00:00+00:00,265692973
2019-01-19 00:00:00+00:00,232633384
2019-01-20 00:00:00+00:00,239565945
2019-01-21 00:00:00+00:00,236425378
2019-01-22 00:00:00+00:00,229107169
2019-01-23 00:00:00+00:00,223419377
2019-01-24 00:00:00+00:00,231128356
2019-01-25 00:00:00+00:00,229036911
2019-01-26 00:00:00+00:00,229350909
2019-01-27 00:00:00+00:00,232775186
2019-01-28 00:00:00+00:00,227553078
2019-01-29 00:00:00+00:00,99119725
2019-01-30 00:00:00+00:00,206497811
2019-01-31 00:00:00+00:00,210148472
2019-02-01 00:00:00+00:00,216195888
2019-02-02 00:00:00+00:00,214689445
2019-02-03 00:00:00+00:00,217434805
2019-02-04 00:00:00+00:00,217464838
2019-02-05 00:00:00+00:00,216797962
2019-02-06 00:00:00+00:00,218522363
2019-02-07 00:00:00+00:00,210990225
2019-02-08 00:00:00+00:00,216125664
2019-02-09 00:00:00+00:00,220896084
2019-02-10 00:00:00+00:00,246516060
2019-02-11 00:00:00+00:00,243147997
2019-02-12 00:00:00+00:00,249056274
2019-02-13 00:00:00+00:00,246891104
2019-02-14 00:00:00+00:00,252330117
2019-02-15 00:00:00+00:00,249014889
2019-02-16 00:00:00+00:00,252662176
2019-02-17 00:00:00+00:00,252503720
2019-02-18 00:00:00+00:00,264590109
2019-02-19 00:00:00+00:00,287766062
2019-02-20 00:00:00+00:00,306221522
2019-02-21 00:00:00+00:00,304548188
2019-02-22 00:00:00+00:00,302379099
2019-02-23 00:00:00+00:00,310103145
2019-02-24 00:00:00+00:00,310601424
2019-02-25 00:00:00+00:00,344705717
2019-02-26 00:00:00+00:00,291862956
2019-02-27 00:00:00+00:00,291068142
2019-02-28 00:00:00+00:00,294046143
2019-03-01 00:00:00+00:00,292040933
2019-03-02 00:00:00+00:00,296111729
2019-03-03 00:00:00+00:00,285473122
2019-03-04 00:00:00+00:00,287002415
2019-03-05 00:00:00+00:00,270936438
2019-03-06 00:00:00+00:00,276708574
2019-03-07 00:00:00+00:00,300290540
2019-03-08 00:00:00+00:00,302754391
2019-03-09 00:00:00+00:00,294649561
2019-03-10 00:00:00+00:00,305036738
2019-03-11 00:00:00+00:00,294082104
2019-03-12 00:00:00+00:00,291508947
2019-03-13 00:00:00+00:00,293239777
2019-03-14 00:00:00+00:00,287949170
2019-03-15 00:00:00+00:00,290717107
2019-03-16 00:00:00+00:00,296375880
2019-03-17 00:00:00+00:00,314660780
2019-03-18 00:00:00+00:00,314597923
2019-03-19 00:00:00+00:00,310599055
2019-03-20 00:00:00+00:00,307723121
2019-03-21 00:00:00+00:00,308074619
2019-03-22 00:00:00+00:00,305486486
2019-03-23 00:00:00+00:00,298000124
2019-03-24 00:00:00+00:00,299355874
2019-03-25 00:00:00+00:00,301064057
2019-03-26 00:00:00+00:00,295250525
2019-03-27 00:00:00+00:00,291362076
2019-03-28 00:00:00+00:00,306190288
2019-03-29 00:00:00+00:00,299266715
2019-03-30 00:00:00+00:00,307754976
2019-03-31 00:00:00+00:00,313300444
2019-04-01 00:00:00+00:00,310517949
2019-04-02 00:00:00+00:00,308151536
2019-04-03 00:00:00+00:00,336263593
2019-04-04 00:00:00+00:00,366829799
2019-04-05 00:00:00+00:00,352168339
2019-04-06 00:00:00+00:00,360427476
2019-04-07 00:00:00+00:00,359762073
2019-04-08 00:00:00+00:00,370316546
2019-04-09 00:00:00+00:00,389777636
2019-04-10 00:00:00+00:00,389689615
2019-04-11 00:00:00+00:00,397725873
2019-04-12 00:00:00+00:00,363504425
2019-04-13 00:00:00+00:00,363879857
2019-04-14 00:00:00+00:00,356169537
2019-04-15 00:00:00+00:00,356564060
2019-04-16 00:00:00+00:00,359978384
2019-04-17 00:00:00+00:00,349781355
2019-04-18 00:00:00+00:00,362216603
2019-04-19 00:00:00+00:00,367751489
2019-04-20 00:00:00+00:00,370528927
2019-04-21 00:00:00+00:00,363873891
2019-04-22 00:00:00+00:00,353841906
2019-04-23 00:00:00+00:00,361419880
2019-04-24 00:00:00+00:00,368961570
2019-04-25 00:00:00+00:00,345312753
2019-04-26 00:00:00+00:00,341653434
2019-04-27 00:00:00+00:00,324636100
2019-04-28 00:00:00+00:00,322142508
2019-04-29 00:00:00+00:00,326910738
2019-04-30 00:00:00+00:00,316208536
2019-05-01 00:00:00+00:00,330266902
