trade_number,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,9980.966238840674
6,10003.773330628866
7,10003.773330628866
8,9986.168455721841
9,9965.666279335032
10,9962.198165359881
11,9973.62018449191
12,9973.62018449191
13,9973.62018449191
14,9958.536935264598
15,10039.881800454317
16,10107.962142219976
17,10140.695408850797
18,10140.695408850797
19,10098.147911223361
20,10114.823447484414
21,10124.860851333258
22,10118.85198121219
23,10156.51146922637
24,10147.112430229312
25,10073.015937878657
26,10082.045921927547
27,10115.654031667878
28,10116.48356427479
29,10279.732530857014
30,10279.732530857014
31,10557.802957418642
32,10557.802957418642
33,10557.802957418642
34,10557.802957418642
35,10557.802957418642
36,10557.802957418642
37,10557.802957418642
38,10582.224212212794
39,10582.224212212794
40,10566.698102692799
41,10705.698886380529
42,10628.077778582208
43,10674.529602447938
44,10674.529602447938
45,10674.529602447938
46,10674.529602447938
47,10683.93096423865
48,10660.34365218274
49,10612.837288105717
50,10612.837288105717
51,10612.837288105717
52,10638.280625054616
53,10638.280625054616
54,10713.748754264163
55,10713.748754264163
56,10713.748754264163
57,10690.825766804865
58,10749.229027152836
59,10749.229027152836
60,10773.503915030109
61,10773.503915030109
62,10773.503915030109
63,10874.946018221739
64,10874.946018221739
65,10874.946018221739
66,10874.946018221739
67,10991.120695591693
68,10991.120695591693
69,10991.120695591693
70,10991.120695591693
71,10991.120695591693
72,10991.120695591693
73,10991.120695591693
74,10991.120695591693
75,10991.120695591693
76,10991.120695591693
77,11009.237500766241
78,11009.237500766241
79,11009.237500766241
80,11009.237500766241
81,11009.237500766241
82,11009.237500766241
83,11009.237500766241
84,11009.237500766241
85,11009.237500766241
86,11009.237500766241
87,11009.237500766241
88,11009.237500766241
89,11009.237500766241
90,11009.237500766241
91,11009.237500766241
92,11009.237500766241
93,11028.914151141254
94,11028.914151141254
95,11028.914151141254
96,11028.914151141254
97,11028.914151141254
98,11028.914151141254
99,11028.914151141254
100,11028.914151141254
101,11028.914151141254
102,11028.914151141254
103,11028.914151141254
104,11028.914151141254
105,11028.914151141254
106,11028.914151141254
107,11028.914151141254
108,11028.914151141254
109,11028.914151141254
110,11028.914151141254
111,11028.914151141254
112,11028.914151141254
113,11028.914151141254
114,11028.914151141254
115,11028.914151141254
116,11070.106557167894
117,11070.106557167894
118,11070.106557167894
119,11070.106557167894
120,11070.106557167894
121,11052.465847574585
122,11041.560747195912
123,11047.810920847762
124,11121.652058592492
125,11173.01771654426
126,11164.857037615562
127,11231.764628309158
128,11242.375736786065
129,11245.157507798851
130,11400.043668559247
131,11378.636530477483
132,11516.857804690706
133,11516.857804690706
134,11516.857804690706
135,11495.008488475369
136,11584.365117862268
137,11644.263225362625
138,11708.244608220028
139,11708.244608220028
140,11704.496300389925
141,11651.095329487243
142,11716.398917901692
143,11827.466221432447
144,11885.347022883012
145,11941.512758802774
146,12064.195739208015
147,12020.413496173664
148,12098.507830677056
149,12082.498772458819
150,12138.219270184843
151,12252.518040790286
152,12183.57603047339
153,12397.406203648366
154,12348.345222165612
155,12329.632710994003
156,12306.56554760222
157,12328.359965974045
158,12180.02957735835
159,12233.24249644017
160,12209.556574519445
161,12292.282933542017
162,12398.158215705165
163,12571.68098668453
164,12671.85593585508
165,12777.216033392422
166,12427.21481687442
167,12722.535317746922
168,12700.61570391774
169,12563.000324075907
170,12561.4354461774
171,12639.371305763438
172,12639.371305763438
173,12638.035012325257
174,12691.351203470964
175,12647.698380002113
176,12676.101692125663
177,12675.147516033598
178,12581.54016627597
179,12659.970759986736
180,12795.943554068535
181,12840.847115173372
182,12974.970535868199
183,12889.892627602952
184,12872.663740454238
185,12923.03053324112
186,12923.03053324112
187,12923.03053324112
188,12923.03053324112
189,12935.416060883337
190,12935.416060883337
191,12945.59667481579
192,12988.816966488575
193,13019.86930837652
194,13009.282025764633
195,13129.95186196716
196,13145.386473255485
197,13145.386473255485
198,13147.957531186023
199,13147.957531186023
200,13138.515123148349
201,13059.768471252632
202,13111.844104184673
203,13111.844104184673
204,13188.959615172384
205,13204.53218868042
206,13204.53218868042
207,13236.54595184287
208,13236.54595184287
209,13236.54595184287
210,13236.54595184287
211,13219.469778746621
212,13322.180461249709
213,13316.114411306475
214,13298.345148406423
215,13268.984639915552
216,13228.077905328919
