,net_profit,net_profit,net_profit,correct
,sum,mean,count,mean
month,,,,
2022-10,-2.54,-0.42,6,0.5
2022-11,-122.33,-20.39,6,0.33
2022-12,37.91,7.58,5,0.6
2024-02,21.21,0.82,26,0.69
2024-03,12.21,0.61,20,0.7
2024-09,4.6,4.6,1,1.0
2024-10,-23.0,-1.21,19,0.58
2024-11,0.0,0.0,18,0.61
2025-01,23.1,0.86,27,0.56
2025-02,0.0,0.0,22,0.55
2025-03,1.9,0.07,26,0.65
2025-04,0.0,0.0,24,0.75
2025-05,8.41,0.31,27,0.56
2025-06,21.65,1.08,20,0.7
2025-07,173.38,5.98,29,0.69
2025-08,686.05,22.87,30,0.63
2025-09,220.2,8.16,27,0.7
2025-10,116.79,23.36,5,0.8
