trade_number,equity
0,10000.0
1,10007.650090604979
2,9994.229964738719
3,9997.979373276698
4,9989.288639001119
5,10005.30522582005
6,10028.167933617431
7,10007.339010713946
8,10021.94795888519
9,10001.372325127002
10,10001.852453331085
11,9987.384413393163
12,9974.919608244494
13,9936.802970387245
14,9921.775400362261
15,10002.819984283735
16,10070.64901023099
17,10103.261443336613
18,10128.802590322104
19,10086.3049916067
20,10102.960971109696
21,10112.986603278428
22,10106.508325664321
23,10143.040363142558
24,10131.734129807028
25,10053.082783459218
26,10056.788912476746
27,10071.894587669785
28,10072.359986740923
29,10167.047731710574
30,10377.811061182969
31,10671.703149995235
32,10690.043010602783
33,10746.06590013494
34,10675.363790450278
35,10675.363790450278
36,10654.524136855263
37,10711.05072026468
38,10681.573849407057
39,10659.584137666528
40,10666.2254089621
41,10666.2254089621
42,10666.2254089621
43,10666.2254089621
44,10583.817682635263
45,10583.817682635263
46,10588.226115925507
47,10595.374280973514
48,10577.554632070332
49,10541.056773236709
50,10481.242962526887
51,10399.67044783303
52,10413.590194613382
53,10426.948290154123
54,10469.778828558654
55,10432.936970795714
56,10448.786272748803
57,10436.811937928273
58,10469.45653619045
59,10423.514875219686
60,10435.790367356285
61,10435.790367356285
62,10437.6631481572
63,10485.512552351383
64,10484.43749542127
65,10475.83019882851
66,10471.828202775074
67,10527.161385869222
68,10536.587786660135
69,10575.03466260996
70,10582.109426717272
71,10573.397928831238
72,10585.55155404874
73,10625.823533272369
74,10549.167849543006
75,10537.012730128443
76,10547.661435070182
77,10556.296906202124
78,10569.61016282876
79,10594.9298484608
80,10573.244499439445
81,10611.239009472203
82,10629.010567886635
83,10560.629737942423
84,10560.629737942423
85,10550.143986984802
86,10537.14084592336
87,10545.141082229507
88,10545.141082229507
89,10562.26130487332
90,10562.26130487332
91,10562.26130487332
92,10562.26130487332
93,10562.26130487332
94,10562.26130487332
95,10562.26130487332
96,10562.26130487332
97,10562.26130487332
98,10562.26130487332
99,10562.26130487332
100,10562.26130487332
101,10562.26130487332
102,10562.26130487332
103,10562.26130487332
104,10562.26130487332
105,10563.586129763777
106,10568.318339418696
107,10585.372207357628
108,10587.748322640824
109,10579.895567321315
110,10582.850376278455
111,10574.893469414113
112,10571.377206285562
113,10578.220184288963
114,10579.181512307554
115,10585.988944381486
116,10601.595694661486
117,10597.862483004556
118,10599.80398718952
119,10595.368605233289
120,10590.659530888483
121,10585.060437383516
122,10583.070168518587
123,10584.00638376316
124,10586.40966078129
125,10587.194464705826
126,10586.789542632552
127,10587.09769633527
128,10587.09769633527
129,10587.545171037304
130,10621.761149234017
131,10615.793560597318
132,10646.592640270232
133,10646.592640270232
134,10639.849813345661
135,10636.246622182565
136,10656.946587411183
137,10667.846944050365
138,10678.060800176323
139,10655.813706258188
140,10654.206961107706
141,10628.843114280191
142,10650.954708667314
143,10689.645225896447
144,10714.80094477432
145,10742.314218991134
146,10809.06543947439
147,10781.60294028362
148,10825.184661623
149,10815.296615628926
150,10848.43183230091
151,10921.9833527446
152,10872.739912004303
153,11004.713225603313
154,10969.50141657369
155,10957.13058571642
156,10942.338399649101
157,10955.674406233687
158,10866.606603047752
159,10892.903666044433
160,10881.760662962362
161,10922.438916132061
162,10976.895299986272
163,11071.98180658111
164,11133.250739355786
165,11200.168835218683
166,11424.880242063602
167,11673.991188495758
168,11673.991188495758
169,11549.75834205659
170,11548.33474337063
171,11620.902209996804
172,11526.982273180243
173,11525.799831531083
174,11575.054191133722
175,11532.604823277125
176,11558.56297966224
177,11557.72287004771
178,11475.41889704886
179,11546.244814609303
180,11671.984455642338
181,11713.822404595314
182,11713.822404595314
183,11636.179582928089
184,11621.004156497656
185,11669.116288578
186,11669.116288578
187,11669.116288578
188,11669.116288578
189,11680.293660235753
190,11618.442447537296
191,11627.831650753293
192,11665.461918154575
193,11693.233630011793
194,11683.59929231666
195,11802.17728429276
196,11817.400843935793
197,11809.696653939265
198,11812.080732052926
199,11812.080732052926
200,11803.271222607504
201,11803.271222607504
202,11859.825831843644
203,11891.73206661113
204,11975.736328963476
205,11994.66357844827
206,11994.66357844827
207,12030.350748801131
208,12051.373818626718
209,12051.373818626718
210,12051.373818626718
211,12051.373818626718
212,12051.373818626718
213,12044.299425571005
214,12022.98146599834
215,12022.98146599834
216,11965.29628679322
217,11982.828219571258
218,12223.334642683285
219,12366.52764635605
220,12366.52764635605
221,12366.52764635605
222,12312.374889317294
223,12172.450169650065
224,12259.057390055506
225,12215.879810923367
226,12311.305710756733
227,12341.629853547485
228,12360.947929833517
229,12314.64106344868
230,12399.87101860319
231,12331.67747664239
232,12307.11483678176
233,12425.922868465626
234,12439.1605697968
235,12472.714226989832
236,12472.714226989832
237,12497.275817018142
238,12438.252649973481
239,12626.845548191926
240,12670.436258573422
241,12735.856033427293
242,12735.856033427293
243,12696.71269973366
244,12708.440250857837
245,12665.520720201202
246,12869.054992845598
247,12824.338399250666
248,12746.569794457058
249,12776.696995927181
250,12783.887207422067
251,12768.593397184977
252,12673.651200784438
253,12730.373957856616
254,12877.6438167794
255,12972.306350981115
256,12851.271446351027
257,12955.895668698182
258,13017.375346488558
259,13061.474509121728
260,13093.201306094405
261,13153.037748536264
262,13222.224974789751
263,13237.789031314931
264,13228.015561361528
265,13283.578919047884
266,13236.614101006544
267,13305.835782452716
268,13305.835782452716
269,13205.731721784223
270,13170.257102490594
271,13282.998942815664
272,13475.738511699465
273,13485.857595091626
274,13607.01623378803
275,13648.265891840229
276,13551.291633512654
277,13481.805080829958
278,13487.277887075785
279,13480.120556663136
280,13505.152832546772
281,13450.1042490347
282,13553.352040657725
283,13603.650083315599
284,13556.082945011567
285,13581.303796818162
286,13606.294016062491
287,13675.648729014856
288,13741.078364389245
289,13692.770405365705
290,13667.79626349995
291,13736.996229283817
292,13736.996229283817
293,13685.545427870687
294,13925.497478651658
295,13940.726733056708
296,14104.019019632973
297,14070.484704645998
298,13987.615148709801
299,13963.061039022767
300,13670.20372564539
301,13955.836180851093
302,13976.40261812866
303,13904.464557166944
304,13936.97780537092
305,13999.93564745738
306,13999.93564745738
307,14198.167194906704
308,14382.783168272761
309,14455.704931562537
310,14455.704931562537
311,14455.704931562537
312,14521.25209885806
313,14557.907111531735
314,14626.952122333054
315,14626.952122333054
316,14630.840415268984
317,14630.840415268984
318,14732.080046327072
319,14752.839534291254
320,14726.765597797383
321,14688.709948522652
322,14591.893267059775
323,14599.265682564197
324,14666.839632593721
325,14671.587921978162
326,14818.94802470102
327,14926.389389591846
328,14886.042807775992
329,14855.750514564123
330,14737.632571329983
331,14863.271851870286
332,14834.374765452025
333,14831.190713195287
334,14840.404730009071
335,15178.040224447415
336,15213.871453121066
337,15048.495235640887
338,15384.203672367294
339,15648.99927625692
340,15734.784554401305
341,15890.124608256101
342,15985.325351390919
343,15985.325351390919
344,15985.325351390919
345,15956.57306329551
346,15960.952891851794
347,15969.295453591183
348,16016.417200884656
349,15952.579983065423
350,15930.662359550839
351,16293.960358839302
352,16293.960358839302
353,16341.631111911202
354,16301.902406328047
355,16301.902406328047
356,16301.902406328047
357,16301.902406328047
358,16297.457731248693
359,16282.088283485744
360,16364.664782726271
361,16366.129036834363
362,16340.253411304982
363,16278.595511420346
364,16296.004319149602
365,16279.782508756583
366,16266.607475714722
367,16987.05591017919
368,16987.05591017919
369,16591.35134253477
370,16677.095122243605
371,16654.486993949624
372,16434.070369033077
373,16498.415347646347
374,16557.83813106105
375,16542.99671899298
376,16598.495187123095
377,16617.17964304018
378,16645.50054201096
379,16635.797944860715
380,16663.76775624982
381,16663.76775624982
382,16814.886606798085
383,16815.375289223142
384,16785.94110561571
385,16795.188258141192
386,16688.391857079303
387,16665.86552510119
388,16665.86552510119
389,16558.162825439016
390,16553.37148359894
391,16556.609690615325
392,16623.336075429615
393,16633.687967076807
394,16633.687967076807
395,16837.70777331933
396,16899.859431355093
397,16948.763274712313
398,16924.835551688688
399,17099.066930255463
400,16967.076179148786
401,16995.779691043892
402,17087.561552694846
403,17143.079927534076
404,17143.079927534076
405,17143.079927534076
406,17143.079927534076
407,17167.045161997994
408,17167.045161997994
409,17165.988085296303
410,17165.988085296303
411,17060.254585456976
412,16996.05449128174
413,17152.56657878923
414,17125.53093023934
415,17142.763775421194
416,17138.168117159967
417,17141.054323115164
418,17148.100169723253
419,17148.100169723253
420,17134.262828845734
421,17076.21850546074
422,17173.37118921831
423,17184.083859486404
424,17117.6595338155
425,17121.08743591682
426,17157.10189608145
427,17132.352629157493
428,17144.346967387373
429,17243.36788828392
430,17356.490828076363
431,17355.46748796312
432,17336.7318229215
433,17359.613544058007
434,17389.830849934708
435,17498.233644068878
436,17695.696898591843
437,17786.732544148334
438,17847.82321098803
439,17847.82321098803
440,17847.82321098803
441,17847.82321098803
442,17855.643314820565
443,17960.546541587053
444,17960.546541587053
445,17972.923839036903
446,17955.06979694702
447,17830.10750530153
448,17892.601705911435
449,17882.070316408648
450,17863.566261496308
451,17967.61872120787
452,17733.05877830522
453,17640.991603120307
454,17719.096792071123
455,17887.24203656884
456,17801.682263922576
457,17845.02522582083
458,17985.447249095574
459,18047.28827390029
460,18202.217505025288
461,18204.510825317568
462,18220.43567879059
463,18475.229796436
464,18349.02075030645
465,18476.661100147438
466,18394.27213607306
467,18379.2065170271
468,18338.341224016283
469,18443.560710362784
470,18250.16151659667
471,18412.670808497598
472,18330.010601661754
473,18690.030619430225
474,18721.394749265906
475,18713.986465483944
476,19011.61705651801
477,19190.199510953833
478,19265.341585696267
479,19255.72999163791
480,19381.14786180962
481,19388.047681300508
482,19397.003956492666
483,19317.352926891934
484,19321.30597420297
485,19423.59824994677
486,19423.59824994677
487,19425.26553628736
488,19387.206670735817
489,19387.206670735817
490,19383.783608098656
491,19378.94136860494
492,19406.803803261486
493,19489.558127462748
494,19292.57014693355
495,19292.57014693355
496,19324.555255176947
497,19372.804346869238
498,19372.804346869238
499,19312.58759261964
500,19310.26424781774
501,19375.88572341052
502,19363.511987162943
503,19379.140577715996
504,19547.985058043694
505,19513.09595687832
506,19499.613514577613
507,19743.66159727079
508,19908.566980187934
509,19884.754086733996
510,19994.32581799269
511,20064.604162380176
512,19985.64752936704
513,20166.29042907924
514,20283.369058611144
515,20301.191549818337
516,20272.479294867193
517,20288.848848006837
518,20418.965877246686
