,net_profit,net_profit,net_profit,correct
,sum,mean,count,mean
month,,,,
2022-10,106.51,4.84,22,0.55
2022-11,307.08,12.28,25,0.56
2022-12,22.2,2.78,8,0.62
2023-06,124.84,5.67,22,0.68
2023-07,25.36,0.91,28,0.57
2023-08,4.67,0.93,5,0.4
2024-02,234.53,8.69,27,0.67
2024-03,721.06,24.04,30,0.63
2024-04,125.74,125.74,1,1.0
2024-09,41.84,41.84,1,1.0
2024-10,330.48,15.74,21,0.67
2024-11,626.14,27.22,23,0.61
2025-01,612.56,21.12,29,0.62
2025-02,680.06,25.19,27,0.59
2025-03,774.57,29.79,26,0.69
2025-04,1627.03,67.79,24,0.71
2025-05,191.94,6.86,28,0.5
2025-06,519.61,22.59,23,0.65
2025-07,656.84,24.33,27,0.7
2025-08,1584.29,51.11,31,0.65
2025-09,848.94,32.65,26,0.69
2025-10,252.68,50.54,5,0.8
