model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,final_capital,num_days,years
AdaBoost,0.0,518,62.93436293436293,2022-10-10,2025-10-05,3714.346270291546,37.14346270291546,16.609474342155316,518,300,218,57.91505791505791,7.170552645350484,30.9306456903582,25.526823104660135,1.667465966042157,-339.88891852779307,2.776322441878037,2.415054651753113,3.0263713911909313,5.982545143754944,10.92811818161062,7,5,13714.346270291546,518,2.0555555555555554
AdaBoost,0.05,518,62.93436293436293,2022-10-10,2025-10-05,6469.4667076648075,64.69466707664807,27.47108031999499,433,254,179,58.66050808314087,14.941031657424489,52.147773110509135,37.855126605611815,1.9547523770400321,-396.85652022570684,2.8099095607579128,3.6618145923941734,5.532774923458561,9.776499821789729,16.301777539110066,7,4,16469.466707664807,518,2.0555555555555554
AdaBoost,0.1,518,62.93436293436293,2022-10-10,2025-10-05,8893.995779198991,88.93995779198991,36.27864331169823,362,217,145,59.94475138121547,24.569049113809392,72.82294404234226,47.64540053785704,2.287383487872535,-408.39734628831866,2.722456538373565,4.674179350002456,7.7502135812785395,13.325701549443878,21.77780012537115,8,4,18893.99577919899,518,2.0555555555555554
AdaBoost,0.15,518,62.93436293436293,2022-10-10,2025-10-05,5653.14026011834,56.5314026011834,24.35721537491795,300,179,121,59.66666666666667,18.8438008670611,57.021918978113206,37.63457220631351,2.2414161952704954,-356.5183346931717,2.536007223970326,4.293628262363748,6.7950338784120925,9.604552835927946,15.856520436693863,7,4,15653.14026011834,518,2.0555555555555554
AdaBoost,0.2,518,62.93436293436293,2022-10-10,2025-10-05,6538.807250693149,65.3880725069315,27.73188862368743,232,139,93,59.91379310344828,28.184514011608336,75.77375559525392,42.94349222631356,2.6372621726538332,-310.56346045847386,2.655286431341219,4.885725589649588,8.715530342548439,10.444029049506232,21.054657367097015,9,4,16538.80725069315,518,2.0555555555555554
Bagging,0.0,518,60.810810810810814,2022-10-10,2025-10-05,3258.5781701898213,32.58578170189821,14.707842806521732,518,286,232,55.21235521235521,6.290691448242895,28.805992265575377,21.465239731744568,1.654341425332009,-261.61724788473293,2.391793286851947,2.300508634945129,3.2700857787987667,6.149295128209027,12.45551735039095,9,5,13258.578170189821,518,2.0555555555555554
Bagging,0.05,518,60.810810810810814,2022-10-10,2025-10-05,5089.161919259996,50.891619192599954,22.15694583202772,458,262,196,57.20524017467249,11.111707247292571,42.72403359558659,31.145586136651488,1.8336690701223937,-294.46476391631586,2.942751033802278,3.171445697499138,4.996096685414542,7.529330744435797,17.282753466239132,9,5,15089.161919259996,518,2.0555555555555554
Bagging,0.1,518,60.810810810810814,2022-10-10,2025-10-05,4644.601267538723,46.44601267538723,20.392626709191795,405,229,176,56.54320987654321,11.468151277873366,43.10513756313339,29.695882013743372,1.8886679950096763,-264.1737651739495,2.0329226526089563,3.2450794087560904,5.3213403613253485,10.031186716829028,17.581614375978667,8,5,14644.601267538723,518,2.0555555555555554
Bagging,0.15,518,60.810810810810814,2022-10-10,2025-10-05,4638.532232783171,46.38532232783171,20.368351724621814,357,206,151,57.70308123249299,12.993087486787589,45.76462900639127,31.715108228698227,1.9685843190880603,-293.0122943103215,2.3547742952843977,3.35680361829713,5.492910073348573,8.649810627460509,15.830503780399825,8,5,14638.532232783171,518,2.0555555555555554
Bagging,0.2,518,60.810810810810814,2022-10-10,2025-10-05,2655.7979761278093,26.557979761278094,12.140496810329848,295,168,127,56.949152542372886,9.002705003823085,34.15918466114039,24.275157849950986,1.8614483669634625,-230.67199354958393,2.1867482561951967,3.011384179199222,4.893759318275559,5.55184931595809,11.513309159297373,7,5,12655.79797612781,518,2.0555555555555554
BiLSTM,0.0,368,58.69565217391305,2022-11-09,2025-10-05,-24.36281564365163,-0.24362815643651628,-0.1668964531700512,368,198,170,53.80434782608695,-0.06620330337952346,9.214855444633091,10.875907021653036,0.986823105422699,-225.89036111945643,2.2222103010688743,-0.029504724659331388,-0.027982912343561737,-0.0751038068223222,-0.10785239141199109,7,5,9975.637184356348,368,1.4603174603174602
BiLSTM,0.05,368,58.69565217391305,2022-11-09,2025-10-05,829.6266664282193,8.296266664282195,5.609433434115774,321,170,151,52.95950155763239,2.5845067489975286,20.831712496550665,17.958705019770903,1.3059361088626935,-319.8880409302892,2.9040617272586466,1.1811406228422903,1.430772926098099,1.9315820257756444,2.593490722615084,7,9,10829.62666642822,368,1.4603174603174602
BiLSTM,0.1,368,58.69565217391305,2022-11-09,2025-10-05,1730.8816106193717,17.308816106193717,11.55175946600604,281,153,128,54.44839857651246,6.159721034232688,29.00049918404414,21.142146597963812,1.6395997927791446,-309.38960941030564,2.630429781390681,2.068279299860863,2.7107861695584874,4.391586328489158,5.594504656825482,7,6,11730.881610619372,368,1.4603174603174602
BiLSTM,0.15,368,58.69565217391305,2022-11-09,2025-10-05,195.33659117240495,1.9533659117240494,1.333547746930397,254,144,110,56.69291338582677,0.769041697529135,9.642665764571591,10.847338899326447,1.1637071736171742,-180.0968528545618,1.780166940448351,0.5331426311639273,0.4814081270224759,0.7491138705196553,1.0846196814452393,7,5,10195.336591172405,368,1.4603174603174602
BiLSTM,0.2,368,58.69565217391305,2022-11-09,2025-10-05,1012.0947859973094,10.120947859973093,6.8247308727797495,222,126,96,56.75675675675676,4.558985522510372,23.63560542655199,20.479078101544257,1.5148012019159323,-234.10367060072895,2.2837540930313884,1.7913156508998456,2.0791588054285075,2.9883825467919802,4.32327602296962,7,4,11012.09478599731,368,1.4603174603174602
CatBoost,0.0,518,63.32046332046332,2022-10-10,2025-10-05,2362.471106508434,23.624711065084337,10.868450717303002,518,297,221,57.33590733590733,4.560755031869574,23.484977698830615,20.871345113322416,1.5121813879769765,-306.34406319869413,2.6751228901046833,1.8639230809315857,2.29883725576208,4.062785585479289,7.7118227193328694,8,5,12362.471106508434,518,2.0555555555555554
CatBoost,0.05,518,63.32046332046332,2022-10-10,2025-10-05,3246.7174978792173,32.46717497879217,14.657911143347224,234,143,91,61.111111111111114,13.874861102047964,41.84535206790541,30.078767558585167,2.186159445958605,-270.28790979161386,2.6373851629840783,3.732069805443212,5.3993752943036535,5.557743840024671,12.01207075959249,15,4,13246.717497879217,518,2.0555555555555554
CatBoost,0.1,518,63.32046332046332,2022-10-10,2025-10-05,2771.7802223232447,27.717802223232447,12.639285783299004,202,127,75,62.87128712871287,13.721684268927001,39.003390095973614,29.088670931538612,2.2704970164486613,-285.15083585998036,2.7806323526351666,3.6519341151947873,4.808063207175283,4.545471741821938,9.720400131263482,13,4,12771.780222323245,518,2.0555555555555554
CatBoost,0.15,518,63.32046332046332,2022-10-10,2025-10-05,1895.652954859028,18.95652954859028,8.811646553255281,177,110,67,62.14689265536724,10.70990369976853,35.11143956472399,29.352319362098637,1.9639213629229266,-293.2951159579661,2.8659732477120103,3.0150587268900466,3.6634270366674477,3.074573902701246,6.463295335373758,13,5,11895.652954859028,518,2.0555555555555554
CatBoost,0.2,518,63.32046332046332,2022-10-10,2025-10-05,4423.118186169304,44.231181861693045,19.503364606248397,157,102,55,64.96815286624204,28.17272730044145,63.363012409170345,37.089255992110324,3.1682918275505685,-234.41618423950422,1.8628090820992043,5.805209525707657,12.420943115149125,10.469867681915103,18.868655338447883,12,4,14423.118186169304,518,2.0555555555555554
DTW_LSTM,0.0,368,58.96739130434783,2022-11-09,2025-10-05,869.9809070785268,8.699809070785268,5.878758274726459,368,195,173,52.9891304347826,2.3640785518438614,17.09444540415511,14.239514142957834,1.3531575108468983,-334.6648629954907,3.0005215266859318,1.1621978620126572,1.4612545083857027,1.9592454919727011,2.5995585532690026,10,7,10869.980907078527,368,1.4603174603174602
DTW_LSTM,0.05,368,58.96739130434783,2022-11-09,2025-10-05,1619.5609355501456,16.195609355501457,10.825777053453223,304,168,136,55.26315789473685,5.327503077467564,29.35614642506973,24.354938704864516,1.4889577606874171,-439.1915829024765,3.9863203021323885,1.7781469438869608,2.2204994425135225,2.7157318612009744,3.6875955701313448,8,4,11619.560935550146,368,1.4603174603174602
