model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,final_capital,num_days,years,total_return_pct_norm,sharpe_ratio_norm,sortino_ratio_norm,win_rate_norm,dd_norm,composite_score
VotingSoft,0.0,518,61.969111969111964,2022-10-10,2025-10-05,5347.420611808573,53.47420611808573,23.169649608787644,518,290,228,55.98455598455598,10.32320581430229,39.20210692947894,26.40872981465047,1.88810023576325,-421.6000838405889,3.926321482854041,3.0239705879536944,5.286202557800375,5.901108635644792,12.683632704946247,9,5,15347.420611808573,518,2.0555555555555554,1.0,1.0,1.0,0.8610481800332279,0.34935225788649127,88.85076566862965
AdaBoost,0.0,518,62.93436293436293,2022-10-10,2025-10-05,3714.346270291546,37.14346270291546,16.609474342155316,518,300,218,57.91505791505791,7.170552645350484,30.9306456903582,25.526823104660135,1.667465966042157,-339.88891852779307,2.776322441878037,2.415054651753113,3.0263713911909313,5.982545143754944,10.92811818161062,7,5,13714.346270291546,518,2.0555555555555554,0.718664286293799,0.860736592070249,0.6562494224843345,1.0,0.7174655247354537,77.27738903033601
Bagging,0.0,518,60.810810810810814,2022-10-10,2025-10-05,3258.5781701898213,32.58578170189821,14.707842806521732,518,286,232,55.21235521235521,6.290691448242895,28.805992265575377,21.465239731744568,1.654341425332009,-261.61724788473293,2.391793286851947,2.300508634945129,3.2700857787987667,6.149295128209027,12.45551735039095,9,5,13258.578170189821,518,2.0555555555555554,0.6401474420406918,0.8345391028650995,0.693321643952439,0.8054674520465192,0.8405528303867621,74.3314296786049
VotingHard,0.0,518,61.38996138996139,2022-10-10,2025-10-05,2876.173717988351,28.76173717988351,13.086251303499497,518,289,229,55.79150579150579,5.5524589150354675,25.130995597465844,19.155825369778412,1.6556601094681243,-252.43259913688962,2.1006592121371694,2.1526045457519962,2.972602679425771,6.229592704942275,11.39382840339355,7,6,12876.173717988351,518,2.0555555555555554,0.5742692228136416,0.8007123851143645,0.6480704815109349,0.8471529980365509,0.9337444866540153,72.31598692917633
StackingEnsemble,0.0,518,60.61776061776062,2022-10-10,2025-10-05,2324.390998567831,23.24390998567831,10.702180096743996,518,287,231,55.4054054054054,4.487241309976482,20.579331463014725,15.505961607434662,1.648930969252123,-207.15747202864623,1.936724742393011,2.0239305348639696,2.751843737857076,5.525916957884483,11.220406272607965,7,5,12324.390998567831,518,2.0555555555555554,0.4792115875104529,0.7712837231219255,0.6144900907378303,0.8193626340431962,0.9862197071163372,68.25877194915846
MLP,0.0,518,62.74131274131274,2022-10-10,2025-10-05,2546.6756231903655,25.466756231903652,11.669061577653107,518,295,223,56.94980694980695,4.916362206931202,25.702451296791327,22.58093053526044,1.505739568230681,-273.8028674982379,2.4460214081841043,1.9502580813371533,2.5174161390583487,4.770629373320192,9.301128386490529,9,5,12546.675623190366,518,2.0555555555555554,0.5175053760565413,0.7544343087139063,0.5788305141892075,0.9305240900166142,0.8231944759991615,67.30916163281829
LightGBM,0.0,518,61.38996138996139,2022-10-10,2025-10-05,2684.608365844475,26.846083658444748,12.264616085282153,518,290,228,55.98455598455598,5.182641632904401,23.877328525422122,18.59568818652603,1.6331896930999688,-297.9213524479874,2.7998426830012986,2.0333954707358046,2.6484156064800612,4.380466145381806,9.01113110485482,9,5,12684.608365844475,518,2.0555555555555554,0.5412675561432114,0.7734484213125706,0.5987572871472162,0.8610481800332279,0.7099367247204458,66.52146697617387
RandomForest,0.0,518,62.93436293436293,2022-10-10,2025-10-05,3015.089481387513,30.15089481387513,13.678149653698114,518,297,221,57.33590733590733,5.820636064454622,25.717812055199758,20.919007687813732,1.6521790628603905,-374.0970145159954,3.298144535930884,2.0152311788078707,2.3709945074283234,4.1472256611815,8.059645932455298,8,5,13015.089481387513,518,2.0555555555555554,0.5982007514938608,0.769294118483351,0.556557823566428,0.9583144540099683,0.5504309195650583,66.35735495144088
XGBoost,0.0,518,60.810810810810814,2022-10-10,2025-10-05,2766.483429104035,27.664834291040354,12.61655740214016,518,288,230,55.5984555984556,5.340701600586958,27.338938037610554,22.2049161988165,1.5416903497628416,-359.3973687268244,3.3772295550746207,2.024587643553547,2.946834694467951,3.73577134642285,7.697561723683127,7,6,12766.483429104035,518,2.0555555555555554,0.5553724739484053,0.771434008555514,0.6441508259890779,0.8332578160398738,0.5251159030141697,64.59546589752948
CatBoost,0.0,518,63.32046332046332,2022-10-10,2025-10-05,2362.471106508434,23.624711065084337,10.868450717303002,518,297,221,57.33590733590733,4.560755031869574,23.484977698830615,20.871345113322416,1.5121813879769765,-306.34406319869413,2.6751228901046833,1.8639230809315857,2.29883725576208,4.062785585479289,7.7118227193328694,8,5,12362.471106508434,518,2.0555555555555554,0.48577178754122835,0.7346888797223169,0.5455817394683272,0.9583144540099683,0.7498593757558192,64.3839958254628
GRU,0.0,368,57.88043478260869,2022-11-09,2025-10-05,1985.1130726544798,19.851130726544795,13.201652547452781,368,195,173,52.9891304347826,5.394329001778495,26.172977680706133,18.026691185452087,1.636536229550851,-281.89788129960834,2.658409179775081,1.9662014066584454,2.7003413862015098,4.965997201593221,7.0419581144160865,10,6,11985.11307265448,368,1.4603174603174602,0.4207629333341072,0.758080660674786,0.6066558934815911,0.6454463072043497,0.755209413704873,60.56116186340385
GradientBoosting,0.0,518,61.77606177606177,2022-10-10,2025-10-05,1531.4196994023132,15.314196994023133,7.1778734372594855,518,292,226,56.37065637065637,2.95640868610483,17.14244012064565,15.372446087726665,1.4408012440907034,-206.06163365785505,1.8936746134578786,1.5744486112669063,1.9824790893814312,3.7904470948958755,7.4318526560120555,8,5,11531.419699402313,518,2.0555555555555554,0.3426035098940805,0.6684840084790044,0.4974594266150593,0.8888385440265825,1.0,60.053499897759636
DecisionTree,0.0,518,53.28185328185329,2022-10-10,2025-10-05,1444.8495116132908,14.448495116132909,6.785679388888788,518,249,269,48.06949806949807,2.7892847714541817,17.67498529177769,10.989672215759775,1.488748678765089,-332.2456673726083,2.823672215367591,1.5265632329733485,2.3814221396411193,2.403139908364121,4.3487384592224485,8,12,11444.84951161329,518,2.0555555555555554,0.3276897457449972,0.6575322816892994,0.5581440060424612,0.29134571816946087,0.7023089209621103,49.72769923007056
DTW_LSTM,0.0,368,58.96739130434783,2022-11-09,2025-10-05,869.9809070785268,8.699809070785268,5.878758274726459,368,195,173,52.9891304347826,2.3640785518438614,17.09444540415511,14.239514142957834,1.3531575108468983,-334.6648629954907,3.0005215266859318,1.1621978620126572,1.4612545083857027,1.9592454919727011,2.5995585532690026,10,7,10869.980907078527,368,1.4603174603174602,0.22865502023835718,0.5741993283621283,0.4181741891247456,0.6454463072043497,0.6456996757281901,44.77047996223324
LogisticRegression,0.0,518,56.56370656370656,2022-10-10,2025-10-05,1505.7819568118648,15.057819568118646,7.061883305087435,518,269,249,51.930501930501926,2.9069149745402476,17.221922902740637,12.55789278725054,1.4815550823757213,-579.6657451023893,4.805226245588166,1.4861194853367825,2.367990068574902,1.4696255585408031,2.597672830479039,8,10,11505.781956811865,518,2.0555555555555554,0.3381868018324013,0.6482825087888515,0.5561008081901316,0.5692493581030056,0.06801593330609368,43.09784548732877
ExtraTrees,0.0,518,60.231660231660236,2022-10-10,2025-10-05,864.6101512887562,8.646101512887562,4.116700341543633,518,285,233,55.01930501930502,1.6691315661945028,15.469206773740543,15.210788752048506,1.243956657474258,-351.87588632607003,3.2216924275651753,0.8630758957807706,1.0017164400786602,1.277806753469284,2.45714521763948,8,5,10864.610151288756,518,2.0555555555555554,0.22772978041623543,0.5057880059979549,0.34827229614041905,0.7915722700498421,0.5749031446410957,42.378596776738256
SVM,0.0,518,62.54826254826254,2022-10-10,2025-10-05,334.39677257126095,3.3439677257126093,1.6130584690884353,518,295,223,56.94980694980695,0.6455536150023953,9.011883641377265,10.422013011816379,1.1438817141210496,-223.99265092945643,2.2109772150172042,0.5147074391481795,0.5041771907825907,0.7295681104863324,1.4928917140079514,9,7,10334.396772571261,518,2.0555555555555554,0.13638797464179972,0.4261136608188839,0.2725899147265721,0.9305240900166142,0.8984318307426178,42.29698771513908
Residual_LSTM,0.0,368,57.33695652173913,2022-11-09,2025-10-05,359.79754501609204,3.59797545016092,2.4500752166350503,368,189,179,51.358695652173914,0.9777107201524254,12.553874163746386,11.245165764983097,1.1787472228454885,-230.60759757136475,2.184304634605008,0.6754467130490729,0.8313074965816658,1.1216728554339683,1.5602154864162603,8,9,10359.797545016092,368,1.4603174603174602,0.1407638589863036,0.462875876653252,0.3223508142144863,0.5280924331671957,0.9069696906546505,40.21936388556093
