model,strategy_type,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning
AdaBoost,kelly,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,13733.45506938698,3733.4550693869805,37.33455069386981,16.688488991064474,518,300,218,57.91505791505791,7.207442218893798,30.90403838128863,25.40255249999817,7.207442218893798,1.6741818833073034,-325.6702322154997,2.758901916452943,2.433057138867059,3.0627952124779796,6.048960599701378,11.46391257189423,7,5,518,2.0555555555555554,True,3.488324816972424,0.0005275107357151595,True,True,0.0002711856324589426,0.0009704567557982269,
AdaBoost,kelly,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,16523.158306890746,6523.158306890746,65.23158306890747,27.673077902411936,433,254,179,58.66050808314087,15.065030731849312,52.33362758226973,37.81889999444557,15.065030731849307,1.9635982321937675,-390.9301282652814,2.80528814863213,3.6951512122832613,5.652590138296901,9.864611560814328,16.68625116165054,7,4,518,2.0555555555555554,True,4.843685012692336,1.7789865895618062e-06,True,True,0.0006970643531001822,0.0016490847302981664,
AdaBoost,kelly,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,18742.866477020398,8742.866477020398,87.42866477020398,35.74724756802365,362,217,145,59.94475138121547,24.151564853647532,70.889294177598,45.7938645484025,24.15156485364752,2.316674874911953,-396.3760111364754,2.2965725190420474,4.772583181807921,8.366787577907223,15.56547736752273,22.05700201672941,8,4,518,2.0555555555555554,True,5.720151368249782,2.235785392903149e-08,True,True,0.001150884338495524,0.0023568110209762653,
AdaBoost,kelly,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,15808.642668029914,5808.642668029914,58.08642668029914,24.956694103452847,300,179,121,59.66666666666667,19.362142226766355,57.88269702825828,37.62281074403575,19.362142226766352,2.2759629160254176,-365.6276844018539,2.511315281955384,4.401384847440377,7.309314367379457,9.937698497187828,15.886769289728491,7,4,518,2.0555555555555554,True,4.802304577625521,2.483653155465868e-06,True,True,0.0009107629238716596,0.002175463210314881,
AdaBoost,kelly,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,16236.409302925436,6236.409302925436,62.36409302925436,26.59033119808294,232,139,93,59.91379310344828,26.881074581575163,71.67851931271176,40.07424603808059,26.881074581575174,2.6733481269707053,-291.9233823966788,2.221408304302254,5.071708369171011,9.47869109791417,11.970033220180557,21.363171568254575,9,4,518,2.0555555555555554,True,4.866290095266698,2.1061635517239848e-06,True,True,0.0012574183180869953,0.0029683793663224426,
AdaBoost,aggressive,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,30888.159922204806,20888.159922204806,208.88159922204807,73.0920841905515,518,300,218,57.91505791505791,40.3246330544494,149.79061986996894,110.31663320543989,40.32463305444938,1.86856573270438,-1190.6500606783993,5.845324495992811,3.2204384300910593,4.975444131583705,12.504367249527185,17.54349209061755,7,5,518,2.0555555555555554,True,4.617209813021235,4.913579061023099e-06,True,True,0.0012869571134463335,0.0031932105418208388,
AdaBoost,aggressive,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,34497.7323405491,24497.732340549097,244.97732340549098,82.65343091430093,433,254,179,58.66050808314087,56.57674905438593,182.4426242665394,122.0262247103458,56.57674905438592,2.121552684402048,-1279.9930749010455,4.409688728456222,4.15526322379189,7.705761506009481,18.743597565272342,19.138956937281073,7,4,518,2.0555555555555554,True,5.446809898866338,8.625070768303291e-08,True,True,0.0018699401886198826,0.00398137597946462,
AdaBoost,aggressive,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,35060.65807695672,25060.658076956723,250.60658076956722,84.0973760011753,362,217,145,59.94475138121547,69.22833722916212,197.89976558697575,123.3351107270141,69.22833722916212,2.4013213565049436,-1053.0703860694084,3.561510137566664,4.910743457045443,9.700423137681405,23.612841955472653,23.79770470091347,8,4,518,2.0555555555555554,True,5.885742549656558,9.057916903262135e-09,True,True,0.002354493944856511,0.004717355714081892,
AdaBoost,aggressive,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,27772.432017973126,17772.432017973126,177.72432017973125,64.36607087243975,300,179,121,59.66666666666667,59.24144005991048,163.76162992019138,95.37933667554643,59.24144005991047,2.539952033363017,-950.0526842259751,4.212252075365531,4.8643461621181405,9.543504940627372,15.280678772495872,18.706785753100256,7,4,518,2.0555555555555554,True,5.307436784374838,2.1702529948387284e-07,True,True,0.002185899455059626,0.004762145734928385,
AdaBoost,aggressive,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,24304.26873528518,14304.268735285179,143.0426873528518,54.03852551665764,232,139,93,59.91379310344828,61.656330755539535,162.37667912335863,88.88268454689978,61.65633075553952,2.730475874167218,-839.5888020265556,3.949753611947906,5.297506351605786,10.540585267229368,13.681492777977962,17.037231440865195,9,4,518,2.0555555555555554,True,5.082942632335415,7.672331640068955e-07,True,True,0.0023897525847447923,0.005415141627072632,
AdaBoost,neutral,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,14571.632569809233,4571.632569809233,45.716325698092334,20.100422570463362,518,300,218,57.91505791505791,8.825545501562205,31.381939046575148,22.215363046620755,8.825545501562196,1.943976992886433,-202.2375542268037,1.5591728571031902,3.4233076072081934,5.7595824554014206,12.891721709296702,22.605260369606114,7,5,518,2.0555555555555554,True,4.90806758772438,1.2348750115676668e-06,True,True,0.00043949718563822507,0.001026158394072579,
AdaBoost,neutral,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,14975.9227848353,4975.9227848353,49.75922784835301,21.710098085714023,433,254,179,58.66050808314087,11.491738533106941,35.79364697154679,22.992533776187592,11.491738533106936,2.209020788336028,-200.33140874434503,1.4166005620348885,4.237059790896016,8.200135810037137,15.325490238778643,24.83845551740404,7,4,518,2.0555555555555554,True,5.554030627710917,4.8861814142256726e-08,True,True,0.0006068916822916661,0.0012716862874325927,
AdaBoost,neutral,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,15026.083597981897,5026.083597981897,50.260835979818964,21.908248666955355,362,217,145,59.94475138121547,13.884208834204157,38.76868679909925,23.356699568431953,13.884208834204152,2.484055801709768,-168.2617861414201,1.1859520834178188,4.91097937271708,9.934885365292525,18.473131396521133,29.870618357501513,8,4,518,2.0555555555555554,True,5.8860253049906195,9.043798109718932e-09,True,True,0.0007538937919458982,0.001510412327213932,
AdaBoost,neutral,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,14060.962969496526,4060.962969496526,40.60962969496526,18.034055360814037,300,179,121,59.66666666666667,13.536543231655086,37.38050461010911,21.736755005892594,13.53654323165509,2.5440058750608077,-181.08342356356115,1.3781783110617007,4.876775994999644,9.825131771361017,13.085429669054381,22.425923309712047,7,4,518,2.0555555555555554,True,5.3209988439117755,2.0275219790887383e-07,True,True,0.0007206356465528404,0.001566523515539255,
AdaBoost,neutral,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,13507.890176505403,3507.8901765054034,35.078901765054034,15.7521494290495,232,139,93,59.91379310344828,15.120216278040543,39.22748792899778,20.911082211024574,15.120216278040544,2.803792306351773,-166.94556376434593,1.293626194878675,5.291450457098456,10.757493674557734,12.176739688335426,21.01217964352146,9,4,518,2.0555555555555554,True,5.077132018373829,7.886296279698394e-07,True,True,0.0007982630571940692,0.0018107415492980073,
AdaBoost,conservative,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,12122.564825046873,2122.564825046873,21.22564825046873,9.816500994209655,518,300,218,57.91505791505791,4.097615492368509,15.504192389091086,11.599508677433201,4.097615492368509,1.8393920954301184,-104.53706145548495,0.9742207493321333,3.220438430091037,4.975444131583655,10.076259411369808,20.30442405300177,7,5,518,2.0555555555555554,True,4.617209813021203,4.913579061023837e-06,True,True,0.0002144928522410529,0.0005322017569701369,
AdaBoost,conservative,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,12340.921095200949,2340.921095200949,23.40921095200949,10.774388442244831,433,254,179,58.66050808314087,5.406284284528792,17.30829130235557,11.48259718210809,5.40628428452879,2.1389210362571216,-88.69756653351033,0.739803827709854,4.155263223791846,7.7057615060094005,14.563845223129169,26.392168203583566,7,4,518,2.0555555555555554,True,5.446809898866282,8.625070768305804e-08,True,True,0.0003116566981033097,0.0006635626632441004,
AdaBoost,conservative,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,12369.118116836267,2369.1181168362673,23.691181168362675,10.897446836781977,362,217,145,59.94475138121547,6.544525184630548,18.468397456535712,11.300166422289593,6.544525184630548,2.445885398742917,-71.61817060099565,0.5960250560164312,4.910743457045459,9.700423137681454,18.28353812776884,33.079846873432025,8,4,518,2.0555555555555554,True,5.8857425496565785,9.057916903261142e-09,True,True,0.00039241565747608704,0.0007862259523469837,
AdaBoost,conservative,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,11890.068710060503,1890.0687100605028,18.900687100605026,8.78679379009666,300,179,121,59.66666666666667,6.300229033535055,17.67547911771487,10.527620264549135,6.300229033535054,2.483754368979662,-81.33819450785631,0.7085829694233762,4.8643461621181165,9.543504940627292,12.400515069176857,23.237160862698328,7,4,518,2.0555555555555554,True,5.3074367843748105,2.1702529948390267e-07,True,True,0.00036431657584326776,0.0007936909558213939,
AdaBoost,conservative,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,11623.084231824654,1623.0842318246541,16.23084231824654,7.591502183810395,232,139,93,59.91379310344828,6.996052723382146,18.261776954337336,9.841965213206795,6.996052723382146,2.7732757882898453,-75.52934150690817,0.6647285548685756,5.297506351605769,10.540585267229295,11.420454451985023,21.489452965457158,9,4,518,2.0555555555555554,True,5.082942632335398,7.672331640069553e-07,True,True,0.00039829209745746334,0.0009025236045121035,
