model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning
AdaBoost,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,13714.346270291546,3714.346270291546,37.14346270291546,16.609474342155316,518,300,218,57.91505791505791,7.170552645350484,30.9306456903582,25.526823104660135,7.170552645350483,1.667465966042157,-339.88891852779307,2.776322441878037,2.415054651753113,3.0263713911909313,5.982545143754944,10.92811818161062,7,5,518,2.0555555555555554,True,3.4625142753441063,0.0005795088971491011,True,True,0.0002674385750643546,0.0009689300011323276,
AdaBoost,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,16469.466707664807,6469.4667076648075,64.69466707664807,27.47108031999499,433,254,179,58.66050808314087,14.941031657424489,52.147773110509135,37.855126605611815,14.941031657424485,1.9547523770400321,-396.85652022570684,2.8099095607579128,3.6618145923941734,5.532774923458561,9.776499821789729,16.301777539110066,7,4,518,2.0555555555555554,True,4.799986642353975,2.19008538188249e-06,True,True,0.0006883282430082485,0.0016429101175393925,
AdaBoost,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,18893.99577919899,8893.995779198991,88.93995779198991,36.27864331169823,362,217,145,59.94475138121547,24.569049113809392,72.82294404234226,47.64540053785704,24.56904911380939,2.287383487872535,-408.39734628831866,2.722456538373565,4.674179350002456,7.7502135812785395,13.325701549443878,21.77780012537115,8,4,518,2.0555555555555554,True,5.602210037171752,4.203166965843416e-08,True,True,0.0011533943871100878,0.0024011569950518315,
AdaBoost,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,15653.14026011834,5653.14026011834,56.5314026011834,24.35721537491795,300,179,121,59.66666666666667,18.8438008670611,57.021918978113206,37.63457220631351,18.843800867061105,2.2414161952704954,-356.5183346931717,2.536007223970326,4.293628262363748,6.7950338784120925,9.604552835927946,15.856520436693863,7,4,518,2.0555555555555554,True,4.684732504353235,4.261538541542254e-06,True,True,0.0008758182165536471,0.0021446247936648686,
AdaBoost,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,16538.80725069315,6538.807250693149,65.3880725069315,27.73188862368743,232,139,93,59.91379310344828,28.184514011608336,75.77375559525392,42.94349222631356,28.184514011608336,2.6372621726538332,-310.56346045847386,2.655286431341219,4.885725589649588,8.715530342548439,10.444029049506232,21.054657367097015,9,4,518,2.0555555555555554,True,4.687840134820094,4.720728976907985e-06,True,True,0.0012731038613678324,0.0031191610422194715,
Bagging,0.0,518,60.810810810810814,2022-10-10,2025-10-05,10000.0,13258.578170189821,3258.5781701898213,32.58578170189821,14.707842806521732,518,286,232,55.21235521235521,6.290691448242895,28.805992265575377,21.465239731744568,6.290691448242892,1.654341425332009,-261.61724788473293,2.391793286851947,2.300508634945129,3.2700857787987667,6.149295128209027,12.45551735039095,9,5,518,2.0555555555555554,True,3.2982872595730384,0.0010397346146461062,True,True,0.00022316581233146533,0.000880608079176751,
Bagging,0.05,518,60.810810810810814,2022-10-10,2025-10-05,10000.0,15089.161919259996,5089.161919259996,50.891619192599954,22.15694583202772,458,262,196,57.20524017467249,11.111707247292571,42.72403359558659,31.145586136651488,11.111707247292564,1.8336690701223937,-294.46476391631586,2.942751033802278,3.171445697499138,4.996096685414542,7.529330744435797,17.282753466239132,9,5,518,2.0555555555555554,True,4.275527934533067,2.3227565091975075e-05,True,True,0.0004911616812158573,0.0013267160474149148,
Bagging,0.1,518,60.810810810810814,2022-10-10,2025-10-05,10000.0,14644.601267538723,4644.601267538723,46.44601267538723,20.392626709191795,405,229,176,56.54320987654321,11.468151277873366,43.10513756313339,29.695882013743372,11.468151277873366,1.8886679950096763,-264.1737651739495,2.0329226526089563,3.2450794087560904,5.3213403613253485,10.031186716829028,17.581614375978667,8,5,518,2.0555555555555554,True,4.1138890038631635,4.716560484481901e-05,True,True,0.0004977029852035795,0.0014086850793803975,
Bagging,0.15,518,60.810810810810814,2022-10-10,2025-10-05,10000.0,14638.532232783171,4638.532232783171,46.38532232783171,20.368351724621814,357,206,151,57.70308123249299,12.993087486787589,45.76462900639127,31.715108228698227,12.993087486787585,1.9685843190880603,-293.0122943103215,2.3547742952843977,3.35680361829713,5.492910073348573,8.649810627460509,15.830503780399825,8,5,518,2.0555555555555554,True,3.995395464790438,7.851151803925859e-05,True,True,0.0005488841411337097,0.001613052130385379,
Bagging,0.2,518,60.810810810810814,2022-10-10,2025-10-05,10000.0,12655.79797612781,2655.7979761278093,26.557979761278094,12.140496810329848,295,168,127,56.949152542372886,9.002705003823085,34.15918466114039,24.275157849950986,9.002705003823086,1.8614483669634625,-230.67199354958393,2.1867482561951967,3.011384179199222,4.893759318275559,5.55184931595809,11.513309159297373,7,5,518,2.0555555555555554,True,3.258193718264328,0.0012526751801948646,True,True,0.00031983161709484313,0.0012956256744611446,
