model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning,total_return_pct_norm,sharpe_ratio_norm,win_rate_norm,t_stat_abs,t_stat_norm,dd_norm,composite_score
AdaBoost,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,18893.99577919899,8893.995779198991,88.93995779198991,36.27864331169823,362,217,145,59.94475138121547,24.569049113809392,72.82294404234226,47.64540053785704,24.56904911380939,2.287383487872535,-408.39734628831866,2.722456538373565,4.674179350002456,7.7502135812785395,13.325701549443878,21.77780012537115,8,4,518,2.0555555555555554,True,5.602210037171752,4.203166965843416e-08,True,True,0.0011533943871100878,0.0024011569950518315,,1.0,0.9403823379623066,0.7821822222745782,5.602210037171752,1.0,0.572083226991007,89.91262907666855
GradientBoosting,0.1,518,61.77606177606177,2022-10-10,2025-10-05,10000.0,16972.726621794835,6972.7266217948345,69.72726621794834,29.351377051483475,477,274,203,57.44234800838575,14.617875517389638,49.22104172625335,32.087875917234285,14.61787551738964,2.070448137250093,-448.26008499063755,3.0649105240176175,3.5719958673959757,5.79817366609007,9.576585293918603,15.555091464234359,8,5,518,2.0555555555555554,True,4.914392809699668,1.2273215113211626e-06,True,True,0.000673398191627522,0.0015706559712912556,,0.7363819334732906,0.5991208908770219,0.6125452402557447,4.914392809699668,0.8037372107679125,0.3848589413237953,65.04256101389689
VotingSoft,0.1,518,61.969111969111964,2022-10-10,2025-10-05,10000.0,17011.45811297795,7011.458112977951,70.11458112977951,29.494893010633703,443,253,190,57.11060948081265,15.827219216654502,52.24516445035164,32.66614996295274,15.827219216654505,2.12968351528381,-401.26846237641985,3.768860216747921,3.775788906531081,7.305678890470413,7.825945064124531,17.47323492968824,7,5,518,2.0555555555555554,True,5.006212714400774,8.032824481875967e-07,True,True,0.0007367680477295286,0.001689130499284939,,0.7416962960028931,0.6622199197943194,0.5900568104334829,5.006212714400774,0.8299372387461227,0.0,61.30569975420206
RandomForest,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,16006.744117769966,6006.744117769966,60.067441177699656,25.71602765230989,391,231,160,59.07928388746802,15.362516925242865,50.795224515318985,35.79345465792953,15.36251692524286,2.0488551913986686,-489.36990685806086,3.538948651905131,3.6243331083498678,5.73660913786379,7.266572697647398,12.274445227610185,6,4,518,2.0555555555555554,True,4.514568163791016,8.414595527246856e-06,True,True,0.0006875572351112089,0.0017484016069548823,,0.6038391093571083,0.6153257087374192,0.7235125068846483,4.514568163791016,0.6896506524853222,0.12569580235244582,56.411891152988346
Bagging,0.1,518,60.810810810810814,2022-10-10,2025-10-05,10000.0,14644.601267538723,4644.601267538723,46.44601267538723,20.392626709191795,405,229,176,56.54320987654321,11.468151277873366,43.10513756313339,29.695882013743372,11.468151277873366,1.8886679950096763,-264.1737651739495,2.0329226526089563,3.2450794087560904,5.3213403613253485,10.031186716829028,17.581614375978667,8,5,518,2.0555555555555554,True,4.1138890038631635,4.716560484481901e-05,True,True,0.0004977029852035795,0.0014086850793803975,,0.41693897455439033,0.49790000931598294,0.5515930049926733,4.1138890038631635,0.5753202659033699,0.94906084914606,56.21391757471631
XGBoost,0.1,518,60.810810810810814,2022-10-10,2025-10-05,10000.0,15796.961803385931,5796.9618033859315,57.96961803385932,24.911768581497018,459,265,194,57.73420479302832,12.629546412605512,44.761132850238894,31.261538154264823,12.629546412605514,1.9558469663825326,-404.20224413721553,2.8722373965552084,3.2077267199157515,5.406669256512639,8.673297204254327,14.341735820294018,9,6,518,2.0555555555555554,True,4.329157977320495,1.8398060043334615e-05,True,True,0.0005509888887647819,0.0014670458457884108,,0.5750547987901615,0.4863347546670602,0.6323301017477193,4.329157977320495,0.636745434506869,0.4901959797833553,55.82116223474625
LSTM,0.1,368,59.78260869565217,2022-11-09,2025-10-05,10000.0,14133.82179832483,4133.8217983248305,41.338217983248306,26.73459130257818,236,139,97,58.89830508474576,17.51619406069841,52.59211967797732,32.74724574138169,17.516194060698403,2.3013833256976963,-330.9587847441162,2.764123532864443,4.0152467420371645,7.5855194227497575,9.671995836913013,12.49044288557239,8,5,368,1.4603174603174602,True,3.885688387801402,0.0001327438734644897,True,True,0.0007316580871737246,0.0022366312229268295,,0.34685473072171835,0.7363615928916765,0.7112440220206471,3.885688387801402,0.510205163193065,0.5493033102533385,54.3707748818113
LogisticRegression,0.1,518,56.56370656370656,2022-10-10,2025-10-05,10000.0,11769.417065695396,1769.4170656953956,17.694170656953958,8.248360772469221,95,60,35,63.1578947368421,18.625442796793642,48.073401476481386,31.85677208267105,18.625442796793646,2.586939605004198,-257.1696807139979,2.140041789088089,4.866728502362873,8.801843630912149,3.8542989274915036,6.880348650676243,9,3,518,2.0555555555555554,True,2.9881242457279096,0.0035808936890878874,True,False,0.0005811693442812533,0.002883033360987745,,0.022433864597724285,1.0,1.0,2.9881242457279096,0.2540928778327819,0.8904973496707183,54.11233373964814
StackingEnsemble,0.1,518,60.61776061776062,2022-10-10,2025-10-05,10000.0,13714.490922108744,3714.4909221087437,37.14490922108744,16.61007268792616,338,195,143,57.692307692307686,10.98961811274774,40.11559108641727,28.727617760437976,10.989618112747738,1.9041982252193324,-249.79256147688284,1.9397492954609292,3.214558840749544,5.322089412871505,8.562999727229814,14.87030238269326,7,4,518,2.0555555555555554,True,3.7228836145769075,0.00023076608183446326,True,True,0.0004460686521536722,0.0014455013966913296,,0.2893181828637433,0.4884501369778964,0.6294899130720023,3.7228836145769075,0.4637502074037618,1.0,51.46070218915497
CatBoost,0.1,518,63.32046332046332,2022-10-10,2025-10-05,10000.0,12771.780222323245,2771.7802223232447,27.717802223232447,12.639285783299004,202,127,75,62.87128712871287,13.721684268927001,39.003390095973614,29.088670931538612,13.721684268926994,2.2704970164486613,-285.15083585998036,2.7806323526351666,3.6519341151947873,4.808063207175283,4.545471741821938,9.720400131263482,13,4,518,2.0555555555555554,True,3.2696280320381246,0.00126692595539216,True,True,0.0004866225852121134,0.0019653503467470562,,0.15996849179429104,0.6238716175498371,0.9805709782065629,3.2696280320381246,0.33441758630757595,0.5402777123092248,44.99407238543018
