model,score,total_return,num_trades,t_statistic
AdaBoost,5.0,8893.995779198991,362,5.602210037171752
Bagging,5.0,4644.601267538723,405,4.1138890038631635
CatBoost,5.0,2771.7802223232447,202,3.2696280320381246
GradientBoosting,5.0,6972.7266217948345,477,4.914392809699668
GRU,5.0,3040.391792681221,248,3.311472133718999
ExtraTrees,5.0,3677.0105338805442,266,3.4761578827589545
XGBoost,5.0,5796.9618033859315,459,4.329157977320495
RandomForest,5.0,6006.744117769966,391,4.514568163791016
LSTM,5.0,4133.8217983248305,236,3.885688387801402
LightGBM,5.0,2294.1108837402044,350,3.0105276419658464
VotingSoft,5.0,7011.458112977951,443,5.006212714400774
StackingEnsemble,5.0,3714.4909221087437,338,3.7228836145769075
SVM,5.0,2555.826783433604,293,3.1483596200572355
Residual_LSTM,5.0,3033.9987373146505,233,3.482947772754268
VotingHard,5.0,2876.173717988351,518,3.0862340789788694
Hybrid_LSTM_GRU,4.75,2267.1588224876305,260,2.4989146290066024
DTW_LSTM,4.75,1682.30054262689,257,2.097637264292645
BiLSTM,4.5,1730.8816106193717,281,2.184047477432756
LogisticRegression,4.5,1769.4170656953956,95,2.9881242457279096
DecisionTree,4.25,1605.9172999135171,502,2.3104627811883227
MLP,3.75,1096.2469885816663,406,1.6682433202263085
TabNet,3.5,561.8818001283107,446,1.1518733643326797
EMD_LSTM,3.25,357.7218086310404,265,0.7940377973751472
KNN,1.75,-237.59494655048002,518,-0.8057501401817249
NaiveBayes,1.5,-106.61400524911005,133,-0.696770389117569
VMD_Hybrid,0.5,-183.38672311542905,49,-0.8986286234093784
